name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
PsaA-Acaryochloris_marina_MBIC11017.fa_PsaA-Acaryochloris_marina_MBIC11017.fa_1G1ET.faa.final_tree.fa___photo_hmms___5f662d63c60472c8179cc37fac766694c4080f091160ff2fb8d7b88f,77,22,20,1.1,0.3213811420982736,0.1301460823373174,733.6346428571419,0.9860680683563735,0.17782204515272218
PsaA-Acaryochloris_marina_MBIC11017.fa_PsaA-Acaryochloris_marina_MBIC11017.fa_1G1ET.faa.final_tree.fa___photo_hmms___032867090bc7ef7a3a995ff4a3debaf15748f7875a75adefe33501c4,71,18,16,1.125,0.3179347826086957,0.1480978260869565,715.564630952381,0.9842704689853934,0.1800271739130433
PsaA-Acaryochloris_marina_S15.fa_PsaA-Acaryochloris_marina_S15.fa_1G1ET.faa.final_tree.fa___photo_hmms___f45604b816de0947d5b32b64fd3785be88f9ee1e461646d1edf04072,75,22,21,1.0476190476190477,0.32403718459495345,0.1301460823373174,733.2993928571423,0.9856174635176643,0.17516600265604224
PsaA-Acaryochloris_marina_S15.fa_PsaA-Acaryochloris_marina_S15.fa_1G1ET.faa.final_tree.fa___photo_hmms___92f7131efb82dccd05b3c36a715139eff397896154a633890cc72d59,71,19,15,1.2666666666666666,0.31650750341064116,0.15279672578444747,712.377630952381,0.9839470040778743,0.16562073669849914
PsaA-Allocoleopsis_franciscana_PCC_7113.fa_PsaA-Allocoleopsis_franciscana_PCC_7113.fa_1G1ET.faa.final_tree.fa___photo_hmms___4227737ed5167058b5b61aae4859fb4559249347f2758b6e0a8484b8,71,19,22,0.8636363636363636,0.3247978436657682,0.1522911051212938,721.8640119047609,0.9848076560774365,0.1722371967654982
PsaA-Allocoleopsis_franciscana_PCC_7113.fa_PsaA-Allocoleopsis_franciscana_PCC_7113.fa_1G1ET.faa.final_tree.fa___photo_hmms___1a0e8e4ce4272ca7d18a9ee5a19c1c9d0d51237c3d07082e1bf6aa94,76,24,22,1.0909090909090908,0.33155792276964047,0.13049267643142476,730.5886309523806,0.9846207964317798,0.2568575233022635
PsaA-Anabaena_cylindrica_PCC_7122.fa_PsaA-Anabaena_cylindrica_PCC_7122.fa_1G1ET.faa.final_tree.fa___photo_hmms___8cbb3f2876bed8b3e0f62c3805c286eeb91af65f9071ff1041f14657,76,21,24,0.875,0.3337765957446809,0.1276595744680851,731.8589166666663,0.985005271422162,0.2543882978723404
PsaA-Anabaena_cylindrica_PCC_7122.fa_PsaA-Anabaena_cylindrica_PCC_7122.fa_1G1ET.faa.final_tree.fa___photo_hmms___73e2d86e7903d7583d20f735dad6b068251b93edec52a2fcfdcf2102,67,17,22,0.7727272727272727,0.32570659488559894,0.15208613728129206,722.8540119047613,0.9848147301154786,0.15773889636608301
PsaA-Anabaena_sp_4-3.fa_PsaA-Anabaena_sp_4-3.fa_1G1ET.faa.final_tree.fa___photo_hmms___136281372ae81e9bd244461266b3719bd3bedf67a1387337f9b2311b,65,17,23,0.7391304347826086,0.3283983849259758,0.15208613728129206,722.9900119047612,0.9850000162190208,0.15625841184387573
PsaA-Anabaena_sp_4-3.fa_PsaA-Anabaena_sp_4-3.fa_1G1ET.faa.final_tree.fa___photo_hmms___57e9e8d86168da73c709f9da51b12d7dacecdd091b0db65b5931deae,76,22,23,0.9565217391304348,0.3351063829787234,0.12898936170212766,731.692452380952,0.9847812279689798,0.2507978723404255
PsaA-Anabaena_sp_4-3.fa_PsaA-Anabaena_sp_4-3.fa_1G1ET.faa.final_tree.fa___photo_hmms___ec8060a71470a708ee16d602f31fd39d4c1448cd1873cbac3a945e24,65,19,20,0.95,0.3167115902964959,0.16037735849056606,721.1014285714272,0.9837672968232294,0.1215633423180592
PsaA-Anabaena_sp_90.fa_PsaA-Anabaena_sp_90.fa_1G1ET.faa.final_tree.fa___photo_hmms___0ceae4613c2b767a552472a23c09a93a67de80a3c6f91dff9717802f,65,17,22,0.7727272727272727,0.3243606998654105,0.15074024226110364,723.1930119047613,0.985276582976514,0.15450874831763078
PsaA-Anabaena_sp_90.fa_PsaA-Anabaena_sp_90.fa_1G1ET.faa.final_tree.fa___photo_hmms___e37d9e34ce0b650ddd8fc886398b4a7db25c1cbebf6d130724f3c1f1,76,23,22,1.0454545454545454,0.3351063829787234,0.12632978723404253,731.9754523809519,0.985162116259693,0.2363031914893616
PsaA-Anabaena_sp_AL93.fa_PsaA-Anabaena_sp_AL93.fa_1G1ET.faa.final_tree.fa___photo_hmms___42beb17adedae514df0526fecda22fb55ce26f5185aeafc064eb9c58,75,23,23,1.0,0.33643617021276595,0.12632978723404253,731.7494523809522,0.9848579439851308,0.24853723404255326
PsaA-Anabaena_sp_AL93.fa_PsaA-Anabaena_sp_AL93.fa_1G1ET.faa.final_tree.fa___photo_hmms___20c3f56802bad4553e2fce4877a2085c4677e0eea732622806d0a8e3,66,17,22,0.7727272727272727,0.3243606998654105,0.15074024226110364,723.2470119047612,0.9853501524588026,0.15693135935396993
PsaA-Anabaena_sp_CRKS33.fa_PsaA-Anabaena_sp_CRKS33.fa_1G1ET.faa.final_tree.fa___photo_hmms___75c194afae747785c855fff26a3b7365f75ea78425fdce4b17cdcd4f,66,17,22,0.7727272727272727,0.3243606998654105,0.15074024226110364,723.0910119047611,0.985137618398857,0.15746971736204532
PsaA-Anabaena_sp_CRKS33.fa_PsaA-Anabaena_sp_CRKS33.fa_1G1ET.faa.final_tree.fa___photo_hmms___c7009337d6d64253835e5459ec712ffdc9e16c0edaf16b123fef5faf,75,23,23,1.0,0.33244680851063835,0.12632978723404253,732.0954523809521,0.9853236236621159,0.2232712765957445
PsaA-Anabaena_sp_PCC_7108.fa_PsaA-Anabaena_sp_PCC_7108.fa_1G1ET.faa.final_tree.fa___photo_hmms___7b5f4d0c4d6a1f334ee8f099b41859dccaf27a7095b0c1fc3d005d76,76,22,22,1.0,0.3390957446808511,0.12898936170212766,731.5994523809519,0.9846560597321021,0.26356382978723414
PsaA-Anabaena_sp_PCC_7108.fa_PsaA-Anabaena_sp_PCC_7108.fa_1G1ET.faa.final_tree.fa___photo_hmms___3436a5d26128b9f0f0a9a569da8f281648ea0113b5b64bc1e227558b,66,18,21,0.8571428571428571,0.3243606998654105,0.15208613728129206,722.8330119047613,0.9847861197612552,0.15706594885598882
PsaA-Anabaena_sp_WA102.fa_PsaA-Anabaena_sp_WA102.fa_1G1ET.faa.final_tree.fa___photo_hmms___eca7fa3c82188fe0ff5958442d5180dfeffb451aa70977fba0d25ff3,75,23,23,1.0,0.33643617021276595,0.12632978723404253,731.7494523809522,0.9848579439851308,0.24853723404255326
PsaA-Anabaena_sp_WA102.fa_PsaA-Anabaena_sp_WA102.fa_1G1ET.faa.final_tree.fa___photo_hmms___5d61800c8cd7dedeb10b96316a0c1a77abdebdddc70f6266b9c0a0bb,66,17,22,0.7727272727272727,0.3243606998654105,0.15074024226110364,723.2470119047612,0.9853501524588026,0.15693135935396993
