name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
infb-Acaryochloris_marina_MBIC11017.fa_COG0532.faa.final_tree.fa___hmms___1e2d75499754223fdf7c592751759f21883e00d858f38a0ad1d75407,53,38,27,1.4074074074074074,0.30150753768844224,0.06030150753768844,589.4027380952374,1.0023856090055059,-0.28291457286432165
infb-Acaryochloris_marina_MBIC11017.fa_COG0532.faa.final_tree.fa___hmms___3c3100fa72894ad6422bef652abcfbcf3cf32223f23e5491e8284e4a,55,64,69,0.927536231884058,0.32020202020202027,0.02323232323232323,992.7343452380944,1.011961615940973,-0.5237373737373717
infb-Acaryochloris_marina_MBIC11017.fa_COG0532.faa.final_tree.fa___hmms___32f3aa4115fdb5f4c3ffbfe1d87e6884c31001a3571a31422e28b0d7,38,23,22,1.0454545454545454,0.3105134474327629,0.05623471882640587,400.9860952380954,1.0024652380952386,-0.24400977995110074
infb-Acaryochloris_marina_MBIC11017.fa_COG0532.faa.final_tree.fa___hmms___90c16bf4e370432d7ef8858a06fc1d2c7bc7a04e22bfc3ea10f0d51e,57,36,37,0.972972972972973,0.321273516642547,0.062228654124457314,683.7093809523814,1.0025064236838437,-0.16063675832127397
infb-Acaryochloris_marina_MBIC11017.fa_COG0532.faa.final_tree.fa___hmms___00d0ab5312a2a462489082b838ef5eb6f13b3408b75320f2f544e53f,61,33,48,0.6875,0.2762589928057554,0.07050359712230216,690.0134166666667,1.0058504616132167,-0.40633093525179814
infb-Acaryochloris_marina_MBIC11017.fa_COG0532.faa.final_tree.fa___hmms___724dcbec6cba1eb8cb48338cc1c8c3cef7f5e46732344757762062d3,38,38,33,1.1515151515151516,0.3416252072968491,0.06799336650082918,594.1733690476191,1.000291867083534,-0.15323383084577125
infb-Acaryochloris_marina_S15.fa_COG0532.faa.final_tree.fa___hmms___dc4abb21da64777376e29e0ba56f630662b372e0e3836d9c484b7b16,38,39,32,1.21875,0.3449419568822554,0.06633499170812604,594.0363690476191,1.0000612273528942,-0.14079601990049753
infb-Acaryochloris_marina_S15.fa_COG0532.faa.final_tree.fa___hmms___ea9bc0ffe182117069f99364faf7fbcdaff81b93aa01bdb1340575b6,53,39,28,1.3928571428571428,0.2981574539363484,0.06030150753768844,589.6107380952373,1.0027393505021043,-0.2889447236180905
infb-Acaryochloris_marina_S15.fa_COG0532.faa.final_tree.fa___hmms___0edbe613953d941417356067bcca985166a2696afa12eb02dc77e2d2,56,54,48,1.125,0.32627646326276466,0.0286425902864259,801.0209166666662,1.0088424643157003,-0.4095890410958882
infb-Acaryochloris_marina_S15.fa_COG0532.faa.final_tree.fa___hmms___25c21e2e6f6deb836fb4dbe913658e1a6c74563adb31accca2cf0339,38,23,21,1.0952380952380953,0.31295843520782396,0.05623471882640587,400.79209523809544,1.0019802380952385,-0.22738386308068495
infb-Acaryochloris_marina_S15.fa_COG0532.faa.final_tree.fa___hmms___b00a38500e060ae895f567479e7cdc78bf6b5600870a2608b73ad5c5,62,32,46,0.6956521739130435,0.2737752161383285,0.07060518731988473,688.6970952380946,1.0053972193256855,-0.3840057636887609
infb-Allocoleopsis_franciscana_PCC_7113.fa_COG0532.faa.final_tree.fa___hmms___805aac0632a4273141711f1a6bc6d5d84ee5f3e2011ba28b2feb6e9e,72,69,59,1.1694915254237288,0.313373253493014,0.02594810379241517,1003.5012619047623,1.010575288927253,-0.4994011976047878
infb-Allocoleopsis_franciscana_PCC_7113.fa_COG0532.faa.final_tree.fa___hmms___016d4c27296ac6ce4650fef2df181d585ae79a8c54abfdd58d21e4ff,55,45,32,1.40625,0.30364963503649633,0.072992700729927,676.0567380952377,1.0000839320935468,-0.18788321167883218
infb-Allocoleopsis_franciscana_PCC_7113.fa_COG0532.faa.final_tree.fa___hmms___24a5cac5110438b882f86d5a863c111c7f3716341257397f7b1f1331,38,33,36,0.9166666666666666,0.3383084577114428,0.06633499170812604,594.4787619047619,1.000805996472663,-0.18441127694859052
infb-Allocoleopsis_franciscana_PCC_7113.fa_COG0532.faa.final_tree.fa___hmms___0a3292df33b07f86c9b018583367907b2ccfa6285faf5a978a352cd5,56,39,29,1.3448275862068966,0.3053691275167785,0.0587248322147651,588.2007023809524,1.002045489575728,-0.22516778523489941
infb-Allocoleopsis_franciscana_PCC_7113.fa_COG0532.faa.final_tree.fa___hmms___32862e872d76c17bca4924a76b230847b13a63fe7530ac10db1ef364,38,22,26,0.8461538461538461,0.30806845965770174,0.05623471882640587,401.0700952380953,1.0026752380952382,-0.2418092909535457
infb-Allocoleopsis_franciscana_PCC_7113.fa_COG0532.faa.final_tree.fa___hmms___58e4388d7af378ff06a55ea439e2e31014ab504360e9358b45e95b59,57,42,39,1.0769230769230769,0.3256150506512301,0.059334298118668596,684.1316190476198,1.0031255411255422,-0.1678726483357457
infb-Anabaena_cylindrica_PCC_7122.fa_COG0532.faa.final_tree.fa___hmms___efb49c0785662af55c5882181b5987f01401ca7b52b17ecdf28e4cea,44,22,24,0.9166666666666666,0.30806845965770174,0.05623471882640586,400.84271428571395,1.002106785714285,-0.19828850855745742
infb-Anabaena_cylindrica_PCC_7122.fa_COG0532.faa.final_tree.fa___hmms___485c17b42f76435cf280924b1702fe633810405549404af62729ab21,55,39,41,0.9512195121951219,0.31936416184971095,0.06069364161849711,685.1089285714282,1.003087743149968,-0.20910404624277504
infb-Anabaena_cylindrica_PCC_7122.fa_COG0532.faa.final_tree.fa___hmms___4f69161f25ed2527bea866ece37e8c27f33a7369d747b76a607ccf59,67,65,74,0.8783783783783784,0.3199233716475096,0.023946360153256706,1046.248726190476,1.0108683344835516,-0.494540229885055
infb-Anabaena_cylindrica_PCC_7122.fa_COG0532.faa.final_tree.fa___hmms___f4f9597063d9080ab57ab248ad87aab22a248c13e7c3477ff6b7a48a,40,37,35,1.0571428571428572,0.33830845771144274,0.06799336650082918,594.1990000000004,1.0003350168350176,-0.17645107794361542
infb-Anabaena_cylindrica_PCC_7122.fa_COG0532.faa.final_tree.fa___hmms___b66d3e43a5879adda0bcff843459eec91f4a3f176e68af5ff6019d90,53,39,30,1.3,0.31208053691275167,0.062080536912751685,587.9597261904765,1.0016349679565189,-0.20721476510067136
infb-Anabaena_sp_4-3.fa_COG0532.faa.final_tree.fa___hmms___71d8ef88ece8b58c035ccd5a3b44a299eb970535f3221a36e167148d,67,65,78,0.8333333333333334,0.3272023233301065,0.02516940948693127,1035.9198571428562,1.0116404854910706,-0.5062923523717303
infb-Anabaena_sp_4-3.fa_COG0532.faa.final_tree.fa___hmms___36234974162efe967eb0f8e04afb462a5ab4042d9943880d8a5a6bb3,40,25,24,1.0416666666666667,0.30317848410757947,0.05623471882640587,401.1101904761904,1.002775476190476,-0.2611246943765286
infb-Anabaena_sp_4-3.fa_COG0532.faa.final_tree.fa___hmms___df96a73889af70f450db4b8c2a0e98305c8caa0c1c926ea9e80a78df,59,38,42,0.9047619047619048,0.31647398843930635,0.06069364161849711,685.5005952380955,1.0036611936136097,-0.21979768786127205
infb-Anabaena_sp_4-3.fa_COG0532.faa.final_tree.fa___hmms___a2f583ee9b620ad1c0c48fa105b050194a161faa1677e9328bb187f1,52,40,29,1.3793103448275863,0.3120805369127517,0.06375838926174496,588.2847261904764,1.0021886306481709,-0.22902684563758405
infb-Anabaena_sp_4-3.fa_COG0532.faa.final_tree.fa___hmms___3b661f992bc751facf640a50c310dd4163a955c4e43e3b4d1a4a6da3,40,37,34,1.088235294117647,0.33167495854063017,0.06799336650082918,594.4879999999998,1.0008215488215486,-0.20646766169154243
infb-Anabaena_sp_90.fa_COG0532.faa.final_tree.fa___hmms___9ccac5c41b2aa492293dc461fcffc06c350b6058a07aa12cf28ced21,42,21,27,0.7777777777777778,0.3105134474327628,0.05378973105134474,401.06619047619023,1.0026654761904756,-0.20317848410757997
infb-Anabaena_sp_90.fa_COG0532.faa.final_tree.fa___hmms___1bf65113bd77aa8e61c074ce2da2d1014e0022a9574d67ce994a86f4,58,35,43,0.813953488372093,0.32080924855491333,0.06213872832369942,684.2910952380955,1.0018903297775923,-0.1364161849710986
