name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
reca-Acaryochloris_marina_MBIC11017.fa_COG0468.faa.final_tree.fa___hmms___123c61592b4377e6d4bd821bc2d1a60d3206203e9e47f75d60198dd0,37,19,24,0.7916666666666666,0.3258426966292135,0.047752808988764044,348.1803333333331,1.0034015369836689,-0.19213483146067414
reca-Acaryochloris_marina_MBIC11017.fa_COG0468.faa.final_tree.fa___hmms___d6b9f32e237efd0617945a0730df7ed2bd847e3f6718d39df69902cf,32,18,18,1.0,0.3465909090909091,0.05113636363636363,343.63349999999997,1.00184693877551,-0.07017045454545456
reca-Acaryochloris_marina_MBIC11017.fa_COG0468.faa.final_tree.fa___hmms___dd3ec04b4fead0654e15c56a740e33f9ce02655efcc0915852176b70,32,19,17,1.1176470588235294,0.36,0.05142857142857143,341.27995238095224,1.0008209747242,-0.0017142857142856847
reca-Acaryochloris_marina_MBIC11017.fa_COG0468.faa.final_tree.fa___hmms___7a4f4be90f37808124a982b6dbe412f674ecfce5c2bf29b6029e7407,33,16,21,0.7619047619047619,0.3585434173669467,0.05042016806722689,348.5461071428571,1.0015692733990147,-0.038095238095238036
reca-Acaryochloris_marina_MBIC11017.fa_COG0468.faa.final_tree.fa___hmms___1bdcc34c17d8dda6472937feee045fbda70232f5c8c456769db5fc60,32,17,21,0.8095238095238095,0.33333333333333337,0.05042016806722689,348.97278571428546,1.0027953612479468,-0.12072829131652653
reca-Acaryochloris_marina_MBIC11017.fa_COG0468.faa.final_tree.fa___hmms___305fe832255eb2cebef27105ed7ceb3d740d8c20a66034dd91c2072e,34,15,23,0.6521739130434783,0.3409090909090909,0.05113636363636364,343.92544047619043,1.0026980771900595,-0.07897727272727267
reca-Acaryochloris_marina_MBIC11017.fa_COG0468.faa.final_tree.fa___hmms___371ff30d35985e99f70c832160854c65bc366b1bea273cb4121356c3,33,17,21,0.8095238095238095,0.34173669467787116,0.05042016806722689,349.00194047619067,1.0028791392993985,-0.14369747899159663
reca-Acaryochloris_marina_S15.fa_COG0468.faa.final_tree.fa___hmms___b37151f18cd9de0fc2584bc76fb161414f149b2e540c2a88cc01deef,37,19,22,0.8636363636363636,0.3305084745762712,0.0480225988700565,345.9796904761903,1.002839682539682,-0.16553672316384174
reca-Acaryochloris_marina_S15.fa_COG0468.faa.final_tree.fa___hmms___3be4823035ed4b31e8d6238bb528d30271c83e2dbb42630d0c937ab3,32,18,17,1.0588235294117647,0.36182336182336183,0.05128205128205128,342.21482142857144,1.0006281328320803,0.003133903133903205
reca-Acaryochloris_marina_S15.fa_COG0468.faa.final_tree.fa___hmms___1ecc5f2c7ac3ee7afd01073807e2a92c15941529ef3fe1c753bed7de,32,19,18,1.0555555555555556,0.34090909090909094,0.05113636363636363,343.7176428571429,1.0020922532278218,-0.12073863636363641
