name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
yfia-Arthrospira_sp_PCC_9108.fa_COG1115.faa.final_tree.fa___hmms___30481e25abae2dee7f69da4efcd040ea0a66757edb88c762c1ac5d46,44,14,10,1.4,0.44936708860759494,0.11392405063291139,455.73121428571426,0.9800671274961597,0.8466244725738414
yfia-Arthrospira_sp_PCC_9108.fa_COG1115.faa.final_tree.fa___hmms___5cc711faa1fb75cfba1dabd6113efbf66704abdf3e3ab928ad10f710,57,22,9,2.4444444444444446,0.3742690058479532,0.14230019493177387,495.07277380952377,0.9822872496220709,0.6890838206627691
yfia-Calothrix_sp_NIES-3974.fa_COG1115.faa.final_tree.fa___hmms___7432b276b34c5798c1c6b00412ea142d952b5968d57c3ee2a9031b64,49,16,17,0.9411764705882353,0.4115384615384615,0.11538461538461539,502.20720238095265,0.9827929596496138,0.7586538461538477
yfia-Candidatus_Atelocyanobacterium_thalassa.fa_COG1115.faa.final_tree.fa___hmms___bf0d6413fa208b11a81e3a9a87ea07cba073ed30ac7840c94faad356,50,7,27,0.25925925925925924,0.3640256959314775,0.10920770877944325,452.0080357142852,0.9869171085464742,0.6331905781584587
yfia-Chroococcidiopsis_thermalis_PCC_7203.fa_COG1115.faa.final_tree.fa___hmms___3d1a98b8644c684a7c0ec44aae9e06b74245b16fa6edd796d8320710,52,16,14,1.1428571428571428,0.4067460317460317,0.12301587301587302,486.170214285714,0.9821620490620485,0.8043650793650807
yfia-Chroogloeocystis_siderophila_5_2_s_c_1.fa_COG1115.faa.final_tree.fa___hmms___2c5dd58f5898be5ff8a178450ff6500148f7653df02ab623b226ffd7,55,22,9,2.4444444444444446,0.40631163708086787,0.11242603550295859,489.0972142857141,0.9821229202524379,0.8171597633136103
yfia-Crocosphaera_subtropica_ATCC_51142.fa_COG1115.faa.final_tree.fa___hmms___5855b8f4f070240cd499c4a735a726745afca356b18aa5a28e9134dc,58,8,16,0.5,0.40511727078891263,0.12153518123667378,451.65370238095227,0.9818558747412006,0.9394456289978692
yfia-Cyanobium_sp._NIES-981.fa_COG1115.faa.final_tree.fa___hmms___59bc19db72b14709387cae05c24cec1fac8640861ebcf9b14b6082c2,61,15,9,1.6666666666666667,0.428246013667426,0.10478359908883828,422.54911904761906,0.9826723698781838,0.8391799544419151
yfia-Cyanobium_sp_NS01.fa_COG1115.faa.final_tree.fa___hmms___714259a4393c9998acf60758ed3ada80ad813595f3fca8103f23ee9e,65,19,5,3.8,0.417910447761194,0.09381663113006397,452.12324999999987,0.9828766304347824,0.8311300639658863
yfia-Dactylococcopsis_salina_PCC_8305.fa_COG1115.faa.final_tree.fa___hmms___71b09150c8851e7bf6beeb785e9d5ec16d99a568623f2706a0b9cfe5,57,12,15,0.8,0.39688715953307396,0.11867704280155641,497.4337380952379,0.9850173031588869,0.7754863813229583
yfia-Euhalothece_natronophila_Z-M001.fa_COG1115.faa.final_tree.fa___hmms___a2568d1e3e4c8f5cf9cc99a7b2ee98d301a813ee75d51f06e1347cea,57,12,10,1.2,0.3879310344827587,0.11422413793103449,448.7088095238095,0.9861732077446363,0.6786637931034497
yfia-Euhalothece_natronophila_Z-M001.fa_COG1115.faa.final_tree.fa___hmms___416085d09aa3029d44849930968f2e0313c7608b1f1d59906e060369,59,11,12,0.9166666666666666,0.4019230769230769,0.10961538461538461,503.4719642857142,0.9852680318702822,0.7655769230769244
yfia-Geitlerinema_sp_BBD_1991-9.fa_COG1115.faa.final_tree.fa___hmms___b989d147ce026f216341e60629ddb3a260cab0b68cbb59afe431ad2a,52,16,9,1.7777777777777777,0.4101010101010101,0.11515151515151514,477.2562976190474,0.9820088428375461,0.7985858585858596
yfia-Geitlerinema_sp_PCC_9228.fa_COG1115.faa.final_tree.fa___hmms___1a42cb231306a798db69607377a04f3428dc1f4196a4d7563451ae2d,48,19,13,1.4615384615384615,0.4302554027504912,0.11394891944990176,491.86121428571425,0.9837224285714286,0.7762278978389019
yfia-Gloeocapsa_sp_PCC_7428.fa_COG1115.faa.final_tree.fa___hmms___9c416415f5d54113a7e877e39b1fd3b04c0fae3222cf700e4147eeb2,55,21,9,2.3333333333333335,0.4063116370808678,0.11439842209072978,489.06677380952374,0.9820617947982404,0.8268244575936893
yfia-Gloeothece_citriformis_PCC_7424.fa_COG1115.faa.final_tree.fa___hmms___9449fb1ff32089845de98d167518a4aa7784c267aa223a1d4d72d780,55,16,13,1.2307692307692308,0.38353413654618473,0.11646586345381527,481.3745595238093,0.984406052195929,0.726506024096387
yfia-Gloeothece_verrucosa_PCC_7822.fa_COG1115.faa.final_tree.fa___hmms___b77c3fed23f954fb2376718cc29e2f420fc0ae4eafec9fcfb973677a,55,14,15,0.9333333333333333,0.4031936127744511,0.10578842315369262,484.0861071428577,0.9839148519163775,0.8153692614770476
yfia-Halothece_sp_PCC_7418.fa_COG1115.faa.final_tree.fa___hmms___ca79591652fe8979f39a5bb9302bafff41d776f371cf01941b5f2b6e,58,13,13,1.0,0.390715667311412,0.1160541586073501,500.53760714285704,0.9853102502812147,0.7628626692456489
yfia-Halothece_sp_PCC_7418.fa_COG1115.faa.final_tree.fa___hmms___5d4ab75a5d9e336f2f009d5769c4a2b39bbc6ff342e4cbf7f4119988,51,15,10,1.5,0.375,0.12291666666666667,464.17172619047636,0.9855026033768076,0.6275000000000015
yfia-Hydrococcus_rivularis_NIES-593.fa_COG1115.faa.final_tree.fa___hmms___c79cefcc653438ecc46352e20f376faddb68463649314ec51b301f14,56,16,17,0.9411764705882353,0.4186991869918699,0.1016260162601626,475.32611904761933,0.9841120477176384,0.819715447154473
yfia-Kamptonema_formosum_PCC_6407.fa_COG1115.faa.final_tree.fa___hmms___4044a10200d75a953b3e56b8a6ef53b008c6dd677cac9ab61afc0c83,42,12,12,1.0,0.40040650406504064,0.11788617886178862,474.73614285714274,0.9828905649216205,0.7664634146341471
yfia-Leptolyngbya_sp_PCC_7375.fa_COG1115.faa.final_tree.fa___hmms___978e4def2d7e641fb7bf88085d7a09ac24afce8b99c968504b4a0b27,57,12,16,0.75,0.4161849710982659,0.11946050096339114,501.5915476190473,0.9835128384687202,0.8477842003853577
yfia-Leptolyngbya_sp_PCC_7375.fa_COG1115.faa.final_tree.fa___hmms___63cca2af1d99f8a1a413604a73132c59837e452c94537b6be738c9c0,55,13,6,2.1666666666666665,0.3831967213114754,0.08811475409836066,470.887130952381,0.9830629038671838,0.595901639344263
yfia-Limnospira_fusiformis_SAG_85_79.fa_COG1115.faa.final_tree.fa___hmms___7ef26c163cb2b827db67f6d73b2fc0db60f905fe86b9683ed8eec8e2,56,22,9,2.4444444444444446,0.37181996086105673,0.14677103718199608,492.83389285714264,0.9817408224245869,0.6894324853228975
yfia-Limnospira_fusiformis_SAG_85_79.fa_COG1115.faa.final_tree.fa___hmms___a187b28190f2ebf9e7d19df8629e1f4a2a53f05d422c61c8de6870e2,44,14,10,1.4,0.45147679324894513,0.11181434599156118,455.68921428571446,0.979976804915515,0.850210970464137
yfia-Moorena_producens_JHB.fa_COG1115.faa.final_tree.fa___hmms___991b97af4d323a6c0ceebdc54348473da53ac2cb67eacdc202c4e702,51,12,10,1.2,0.38461538461538464,0.12348178137651822,476.6781904761903,0.9828416298478151,0.8188259109311748
yfia-Moorena_producens_PAL-8-15-08-1.fa_COG1115.faa.final_tree.fa___hmms___8fa026332e6f91be32702897739c835d0cc6d9c049da3371fcc38dc2,48,14,10,1.4,0.39068825910931176,0.1214574898785425,476.6485595238096,0.9827805351006383,0.8097165991902845
yfia-Oscillatoria_acuminata_PCC_6304.fa_COG1115.faa.final_tree.fa___hmms___fb657e8d7c7fba3cd5840f1a4a6f6b60f2e2734d61645591f02f06ff,50,17,8,2.125,0.41,0.13,481.7534285714287,0.9811678789642132,0.846200000000001
yfia-Oxynema_sp_AP17.fa_COG1115.faa.final_tree.fa___hmms___e5e7e70503feb537e5fa6c82937527da67cb63fabedeb177151e4e20,49,14,10,1.4,0.42147117296222664,0.1172962226640159,484.99985714285714,0.9817810873337189,0.8481113320079534
yfia-Phormidium_sp_ETS-05.fa_COG1115.faa.final_tree.fa___hmms___aa43c94d5ad0eace6c3fe96f8487f67ccf36c3c744252c9cecbc0d74,37,12,7,1.7142857142857142,0.3936781609195402,0.117816091954023,332.9763452380952,0.982231106897036,0.7824712643678163
yfia-Phormidium_sp_ETS-05.fa_COG1115.faa.final_tree.fa___hmms___de8f5e99e0ef65ff1b43c0038e5b33515ce6d15bfcb47d9af86beca8,21,9,4,2.25,0.39572192513368987,0.10695187165775401,174.9496547619048,0.9828632289994652,0.6540106951871649
yfia-Planktothricoides_sp_SR001.fa_COG1115.faa.final_tree.fa___hmms___b56f0f180094c7fb702ccce2f7bda9764fd6b87d3688baabde2bc294,56,16,11,1.4545454545454546,0.3877159309021113,0.11324376199616124,503.3934285714286,0.9831902901785715,0.7458733205374287
yfia-Pleurocapsa_sp_PCC_7319.fa_COG1115.faa.final_tree.fa___hmms___b4b0eff4d35888c8bf1ca63593e458c373254cf8cf231cc25bb01df2,61,13,18,0.7222222222222222,0.40804597701149425,0.11494252873563218,504.5480357142856,0.9835244360902253,0.8003831417624534
yfia-Prochlorococcus_marinus_str_CCMP1375.fa_COG1115.faa.final_tree.fa___hmms___0fce5d562a0df658bf5c7837de84e0dcd104073c6579b94b0b9f1317,54,10,14,0.7142857142857143,0.40086206896551724,0.10775862068965518,448.0405833333332,0.9847045787545784,0.7846982758620704
yfia-Prochlorococcus_marinus_str_MIT_9303.fa_COG1115.faa.final_tree.fa___hmms___8e666165c691986fa82f13a519c2ce1a6cf11bd5a6c539904a11f68a,58,14,4,3.5,0.41163793103448276,0.10129310344827586,447.3503571428568,0.9831875981161688,0.8295258620689671
yfia-Prochlorococcus_marinus_str_MIT_9313.fa_COG1115.faa.final_tree.fa___hmms___36700067fe74c42a734f0db7edce45e3ccbd605b6e8fe3796b6d7ea6,59,13,4,3.25,0.41163793103448276,0.09913793103448276,447.48971428571394,0.9834938775510197,0.8284482758620705
yfia-Rippkaea_orientalis_PCC_8801.fa_COG1115.faa.final_tree.fa___hmms___6bc8a54b786c39cbaa0ea7063c7d47fc3b1f5eac482d20e55ce9d201,51,11,12,0.9166666666666666,0.4170212765957447,0.10851063829787233,452.42609523809534,0.9814015081086667,0.9136170212765964
