name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
infa-Acaryochloris_marina_MBIC11017.fa_COG0361.faa.final_tree.fa___hmms___8edbcd32a71b024cdb451e813d22719717a0713f78944d51124bec8e,5,7,7,1.0,0.2972972972972973,0.06756756756756757,65.02278571428572,1.0003505494505496,-0.4554054054054054
infa-Acaryochloris_marina_S15.fa_COG0361.faa.final_tree.fa___hmms___03b26c3f4db091cb7996a91af3f95d7d9f753798d51db84a6665dcde,5,7,7,1.0,0.2972972972972973,0.06756756756756757,65.02278571428572,1.0003505494505496,-0.4554054054054054
infa-Allocoleopsis_franciscana_PCC_7113.fa_COG0361.faa.final_tree.fa___hmms___c537fea87364e4a477aab6ed15d2b2789a686fe5de2c6c889cfd47a9,11,10,6,1.6666666666666667,0.25806451612903225,0.03225806451612903,84.5014404761905,1.0059695294784583,-0.5946236559139781
infa-Anabaena_cylindrica_PCC_7122.fa_COG0361.faa.final_tree.fa___hmms___3ef70230a6b6df6d88d5b98d24e564b70e94ad2f280af09b51686713,5,7,7,1.0,0.28378378378378377,0.06756756756756757,64.99415476190477,0.9999100732600733,-0.4635135135135135
infa-Anabaena_sp_4-3.fa_COG0361.faa.final_tree.fa___hmms___29e96cc34dd043ce7fa0704016707c638912c8938d9462f4f0338246,5,7,7,1.0,0.28378378378378377,0.06756756756756757,64.99415476190477,0.9999100732600733,-0.4635135135135135
infa-Anabaena_sp_90.fa_COG0361.faa.final_tree.fa___hmms___081cc91f9ecce1f8296eb3d55e53c81780767f64bc6c883dd92e193e,5,7,7,1.0,0.28378378378378377,0.06756756756756757,64.99415476190477,0.9999100732600733,-0.4635135135135135
infa-Anabaena_sp_AL93.fa_COG0361.faa.final_tree.fa___hmms___9cfe50a2ffcc3c6e65b24b911b2ae423163b03f65121bf0999e3d512,5,7,7,1.0,0.28378378378378377,0.06756756756756757,64.99415476190477,0.9999100732600733,-0.4635135135135135
infa-Anabaena_sp_CRKS33.fa_COG0361.faa.final_tree.fa___hmms___a7d2812d6d992d3cfa774b8961e1948ee17f2f9ec851cbf44949d001,5,7,7,1.0,0.28378378378378377,0.06756756756756757,64.99415476190477,0.9999100732600733,-0.4635135135135135
infa-Anabaena_sp_PCC_7108.fa_COG0361.faa.final_tree.fa___hmms___62e4035895781799f1c99f558dc0ae54ffcb7258003a74ff127c9458,5,7,7,1.0,0.28378378378378377,0.06756756756756757,64.99415476190477,0.9999100732600733,-0.4635135135135135
infa-Anabaena_sp_WA102.fa_COG0361.faa.final_tree.fa___hmms___39d96c1efa77df854f278107b7df18b1d004b0ec30abf020c48658cc,5,7,7,1.0,0.28378378378378377,0.06756756756756757,64.99415476190477,0.9999100732600733,-0.4635135135135135
