name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
tig-Acaryochloris_marina_MBIC11017.fa_COG0544.faa.final_tree.fa___hmms___97977eceda285d7810df991f57638471d685b01605d46cd1e3840851,16,20,56,0.35714285714285715,0.32116788321167883,0.043795620437956206,547.8004761904759,1.0163274140825156,-0.5760948905109482
tig-Acaryochloris_marina_S15.fa_COG0544.faa.final_tree.fa___hmms___f0bc9bfc8a54348c239aa9cc1652cca353d5bdbeadf49cddd80b1b0b,16,20,54,0.37037037037037035,0.3102189781021898,0.043795620437956206,548.1286309523806,1.0169362355331737,-0.622262773722627
tig-Allocoleopsis_franciscana_PCC_7113.fa_COG0544.faa.final_tree.fa___hmms___324e853c7858ee0f4350e79f8b5013359f2d2d1ed8d3d08ab988bf3a,25,21,30,0.7,0.302713987473904,0.04175365344467641,476.7392380952381,1.0143388044579533,-0.5910229645093944
tig-Anabaena_cylindrica_PCC_7122.fa_COG0544.faa.final_tree.fa___hmms___4b042f5f6ab51989df0185b24139096548d45e73a70e32eb0554fec9,22,19,31,0.6129032258064516,0.3361884368308351,0.04068522483940043,463.2262023809525,1.0114109222291539,-0.41370449678800847
tig-Anabaena_sp_4-3.fa_COG0544.faa.final_tree.fa___hmms___a94c2d05721ce15d06662e678262e8124b27b7e926adbf0b3d7b7585,22,20,29,0.6896551724137931,0.3305084745762712,0.0423728813559322,468.1959166666666,1.0112222822174226,-0.444491525423728
tig-Anabaena_sp_90.fa_COG0544.faa.final_tree.fa___hmms___d7ada4ff528aedfebc757174d4b8c533b2789d56893bb4228551c54c,26,20,32,0.625,0.31769722814498935,0.042643923240938165,465.38453571428556,1.01170551242236,-0.4594882729211084
tig-Anabaena_sp_AL93.fa_COG0544.faa.final_tree.fa___hmms___04d6d7c6d7529c05e2051cc422f4bf20bc3178f0967b9a5e53a18b4e,25,19,35,0.5428571428571428,0.31612903225806455,0.04516129032258065,461.3340357142854,1.011697446741854,-0.4584946236559136
tig-Anabaena_sp_CRKS33.fa_COG0544.faa.final_tree.fa___hmms___8062ace31d541b420e392764db8b7789fb1faff7bfc1356105418347,26,18,37,0.4864864864864865,0.31702127659574464,0.0425531914893617,466.8309404761906,1.0126484609027997,-0.4668085106382978
tig-Anabaena_sp_PCC_7108.fa_COG0544.faa.final_tree.fa___hmms___48ed3b66d6a9796a250ddaa144167300b021c25f42c28d5841d5296d,24,18,32,0.5625,0.32059447983014866,0.040339702760084924,468.1464523809522,1.0133040094825805,-0.49256900212314186
tig-Anabaena_sp_WA102.fa_COG0544.faa.final_tree.fa___hmms___d178c7fc5989086076c6460ccf1b982860cfca38bec03d8b8aca303e,25,19,35,0.5428571428571428,0.31827956989247314,0.04516129032258065,461.3200357142853,1.011666744987468,-0.45720430107526844
tig-Anabaena_sp_YBS01.fa_COG0544.faa.final_tree.fa___hmms___04521bdc13ef0fa9c7f388ee14deaf1866321b2488cab768d0ef726b,24,20,30,0.6666666666666666,0.3312101910828026,0.042462845010615716,467.16816666666625,1.011186507936507,-0.4358811040339698
tig-Anthocerotibacter_panamensis_C109.fa_COG0544.faa.final_tree.fa___hmms___6b5320bb6b6a1d0fd86b8b44d77b651cb00aaacc06ff4fff362cc48e,23,33,23,1.434782608695652,0.3312236286919832,0.056962025316455694,468.3382261904763,1.0071789810547878,-0.46350210970464073
tig-Aphanizomenon_flos-aquae_LD13.fa_COG0544.faa.final_tree.fa___hmms___6a34149f0f05eba6e6a03bd1c36eaa296912bb1b98b946f9e3dd924d,25,19,33,0.5757575757575758,0.3204301075268817,0.04516129032258065,461.1395357142855,1.011270911654135,-0.44215053763440854
tig-Aphanizomenon_flos-aquae_MDT14a.fa_COG0544.faa.final_tree.fa___hmms___69b0022d4faa4c48d8ee8feffafd7bad7802c8267637cab5c9517e10,25,19,33,0.5757575757575758,0.3204301075268817,0.04516129032258065,461.1395357142855,1.011270911654135,-0.44215053763440854
tig-Aphanizomenon_flos-aquae_UKL13-PB.fa_COG0544.faa.final_tree.fa___hmms___047c7e6e7f1f0c5b9ea3f635ef0e4a83d8202531ffa43e6765b0daee,25,19,33,0.5757575757575758,0.3204301075268817,0.04516129032258065,461.1395357142855,1.011270911654135,-0.44215053763440854
tig-Arthrospira_sp_PCC_9108.fa_COG0544.faa.final_tree.fa___hmms___768a0437a0715c77464675d01b642f6c71591327ccdac01b75456401,23,16,34,0.47058823529411764,0.2939914163090129,0.05579399141630901,463.28570238095324,1.0137542721683879,-0.558798283261802
tig-Calothrix_sp_336_3.fa_COG0544.faa.final_tree.fa___hmms___ea35445f56ef1fdeac9ac9a96628e2b18d150f9867ae60330b8accb2,27,20,27,0.7407407407407407,0.31385281385281383,0.04112554112554112,458.70558333333344,1.0125951066961003,-0.4880952380952375
tig-Calothrix_sp_HK-06.fa_COG0544.faa.final_tree.fa___hmms___329f6b27320f0992d6afdba30634a348f99c367b83f4eb59feda0c6e,27,23,34,0.6764705882352942,0.28810020876826725,0.043841336116910226,476.6363928571427,1.0141199848024314,-0.5839248434237997
tig-Calothrix_sp_NIES-2098.fa_COG0544.faa.final_tree.fa___hmms___7b241f170939165df55cc19fbee6f904c081939c70f8300d33e5301b,23,23,29,0.7931034482758621,0.3270042194092827,0.04430379746835443,470.5991428571428,1.0120411674347156,-0.4985232067510546
tig-Calothrix_sp_NIES-3974.fa_COG0544.faa.final_tree.fa___hmms___69fd05e758bd91cab2b7de83151bedff528ff760295d4931c765f0b2,23,21,35,0.6,0.3010752688172043,0.04731182795698925,461.1413214285716,1.011274827694236,-0.4982795698924727
tig-Calothrix_sp_NIES-4071.fa_COG0544.faa.final_tree.fa___hmms___d320978407be39b2e581dfcea266d6f0f0edf00fc6a40405e603287c,28,24,31,0.7741935483870968,0.2881002087682672,0.043841336116910226,476.7910714285711,1.014449088145896,-0.6020876826722334
tig-Calothrix_sp_PCC_6303.fa_COG0544.faa.final_tree.fa___hmms___a527a9c533d4c7495a1310962e6b51babcd6694659c430efa3db9327,24,25,32,0.78125,0.29637526652452023,0.046908315565031986,466.4911309523807,1.0141111542443058,-0.632622601279317
tig-Calothrix_sp_PCC_7103.fa_COG0544.faa.final_tree.fa___hmms___f107730ce1646160a2ffa0dfe1735f0e959a37409e05efb9f80a6291,27,23,35,0.6571428571428571,0.290187891440501,0.043841336116910226,476.73739285714265,1.0143348784194524,-0.5893528183716077
tig-Calothrix_sp_PCC_7507.fa_COG0544.faa.final_tree.fa___hmms___2fceda7761f5487a2e5225ec30664f7373f0c4a680d0b25bb5da95ed,22,21,30,0.7,0.3431578947368421,0.04421052631578947,470.99000000000007,1.0107081545064378,-0.41873684210526335
tig-Candidatus_Atelocyanobacterium_thalassa.fa_COG0544.faa.final_tree.fa___hmms___6d486722df619c5d0ce4c53969f827fe6161bf8e098d6ad381bbfce3,21,11,51,0.21568627450980393,0.3078602620087336,0.048034934497816595,455.2341428571431,1.013884505249762,-0.47903930131004335
