name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
pnp-Acaryochloris_marina_MBIC11017.fa_COG1185.faa.final_tree.fa___hmms___cd8adcb919c7101f46658e5a1974bd544bf719ea7e5afdcd56cb3ba9,24,16,17,0.9411764705882353,0.31833910034602075,0.05536332179930796,281.3784166666666,1.0049229166666664,-0.24671280276816623
pnp-Acaryochloris_marina_MBIC11017.fa_COG1185.faa.final_tree.fa___hmms___0c128cf0c8eec055f95d0d843a52101490600a85b0fdd460e347489b,42,45,54,0.8333333333333334,0.34305555555555556,0.06111111111111111,713.4352023809523,1.0034250385104815,-0.26722222222222236
pnp-Acaryochloris_marina_MBIC11017.fa_COG1185.faa.final_tree.fa___hmms___c30678bbcdd39793d79f35b45ba1f73b0c8476fd537b4a717c372606,24,25,10,2.5,0.30153846153846153,0.05846153846153846,317.5062976190477,1.0047667646172396,-0.4236923076923078
pnp-Acaryochloris_marina_MBIC11017.fa_COG1185.faa.final_tree.fa___hmms___594f20371b39ac668330f66607b8e948b247f4ab25c736b54098733d,63,46,37,1.2432432432432432,0.34357541899441346,0.03910614525139665,709.1717500000007,1.0030717821782187,-0.08938547486033525
pnp-Acaryochloris_marina_S15.fa_COG1185.faa.final_tree.fa___hmms___908f82ce3a33de39baf4f22902ad5c9d140576f0b4f1cfab1d8c4209,41,46,53,0.8679245283018868,0.3375,0.0625,713.6889880952373,1.0037819804433716,-0.2834722222222218
pnp-Acaryochloris_marina_S15.fa_COG1185.faa.final_tree.fa___hmms___aefb86a32c82880e0db61b506221c50d025f532a7eb995ddceefd8f5,23,25,10,2.5,0.3006134969325154,0.05828220858895705,318.5052976190476,1.0047485729307495,-0.43680981595092033
pnp-Acaryochloris_marina_S15.fa_COG1185.faa.final_tree.fa___hmms___772d6205cb3f0cf7e6bfc5d190d25b46167713fb327bca80d22960fb,63,45,37,1.2162162162162162,0.34078212290502796,0.03910614525139665,709.181333333334,1.00308533710514,-0.08589385474860348
pnp-Acaryochloris_marina_S15.fa_COG1185.faa.final_tree.fa___hmms___f3088af92eba461e67bb0e815b920a96cf6febe1c5b37afcc73a13e2,24,16,17,0.9411764705882353,0.31833910034602075,0.05536332179930796,281.51641666666654,1.0054157738095233,-0.2546712802768168
pnp-Allocoleopsis_franciscana_PCC_7113.fa_COG1185.faa.final_tree.fa___hmms___135805cf4fc7133bc316323b90175ea909f0c5b490f463a5dfebf562,44,43,68,0.6323529411764706,0.31424766977363516,0.06524633821571238,747.9745476190482,1.0080519509690675,-0.40292942743009247
pnp-Allocoleopsis_franciscana_PCC_7113.fa_COG1185.faa.final_tree.fa___hmms___b2820282dc148d57f3b09c44061cd1be8a4f2a2f0860314cb13caa8b,65,49,33,1.4848484848484849,0.35146443514644354,0.0404463040446304,709.5512499999998,1.0021910310734459,-0.07224546722454678
