name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___ad638eb011b6a54b56b3ef0366da46a8e66772c41f3abdc0189f9df7,32,45,33,1.3636363636363635,0.3310104529616725,0.050522648083623695,565.6253928571431,1.0011068900126425,-0.33222996515679454
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___c784892aa08c21b666dda760fda9da01595f4f3ed46c0d7adcb2e768,27,42,16,2.625,0.3290870488322718,0.059447983014861996,462.1654642857138,1.0003581478045753,-0.3163481953290873
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___6e8ffa19ad068f2cbc95881fd3b95e81601cca4b9db78f139067be72,26,44,22,2.0,0.32040816326530613,0.07142857142857142,481.24582142857207,1.0005110632610645,-0.4481632653061229
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___3c4a42ca21aa923b9105810d0d1b64746e9653736b19af70dee28429,53,51,23,2.217391304347826,0.3165075034106412,0.06957708049113234,723.6902976190479,0.9995722342804529,-0.2199181446111869
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___e8cd35de05efb839db501d99e7e1021e7721135fb20fc313303d6215,44,53,32,1.65625,0.3256325632563256,0.0704070407040704,897.7011547619039,0.9974457275132266,-0.2609460946094606
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___506513e52ab04c84f53e6bb0a3777b425a4c95baee88934681201164,68,77,62,1.2419354838709677,0.3127147766323024,0.07302405498281786,1158.1527142857135,1.0027296227581934,-0.33376288659793685
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___0a33365c206f8996d3538fa185ea4c2963f99db2fa89c4a1c3750b7e,25,41,15,2.7333333333333334,0.30942622950819676,0.08401639344262295,475.71279761904765,0.99313736454916,-0.28831967213114784
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___433507fa4069a725a87170d43cf24d99c1944d0ae2882cf35b5f6716,50,62,32,1.9375,0.32727272727272727,0.06181818181818183,815.3814880952381,0.9992420197245565,-0.2803636363636352
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___87d3dbad5bd6d1f39a7f709ebf66538976f3ed3cadee39c5c60fa501,40,54,29,1.8620689655172413,0.3248502994011976,0.07185628742514971,659.8897499999989,1.0013501517450667,-0.36227544910179593
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___ac248dba303455a1dd9ccaecd326cea8d07170bc1e3d417c453132c0,42,59,29,2.0344827586206895,0.30842391304347827,0.07744565217391305,726.4623333333326,0.9992604309949554,-0.3767663043478258
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___2ae1f331d66f51a36d1a3489f9f5772f7773873fdace4e54d18356b6,43,68,28,2.4285714285714284,0.2975903614457831,0.06987951807228915,817.6918333333317,0.9959705643524138,-0.34168674698795126
dead-Acaryochloris_marina_MBIC11017.fa_COG0513.faa.final_tree.fa___hmms___f4f89c9002beda5728b461c73cdd02a5189a3c376ff884f05fc1b16c,75,61,34,1.7941176470588236,0.3416087388282026,0.06752730883813307,996.1525833333333,0.9981488810955244,-0.0950347567030787
dead-Acaryochloris_marina_S15.fa_COG0513.faa.final_tree.fa___hmms___496cbc6dfdb9c4390d83a03abbcbf30d084ade20df240c3937dc5af4,54,47,25,1.88,0.3155737704918033,0.06967213114754098,722.8490833333334,0.9997912632549563,-0.20505464480874352
dead-Acaryochloris_marina_S15.fa_COG0513.faa.final_tree.fa___hmms___2f4d84140403ef3548109c1a346bb11c36224fb76896f4b917b1c658,41,54,33,1.6363636363636365,0.32304299889746413,0.07056229327453142,895.6974285714284,0.99743588927776,-0.2715545755237042
dead-Acaryochloris_marina_S15.fa_COG0513.faa.final_tree.fa___hmms___0a3a5343e007b372452346c72ffa0009afb08e371f528aade2ea17d8,68,76,62,1.2258064516129032,0.31013745704467355,0.07302405498281786,1158.265904761904,1.0028276231704798,-0.33634020618556565
dead-Acaryochloris_marina_S15.fa_COG0513.faa.final_tree.fa___hmms___5a90995bb150a07322b631738d1a63e1e26bfa7aecdb25255dd1f0f6,49,61,33,1.8484848484848484,0.32727272727272727,0.06181818181818182,815.8974880952383,0.9998743726657332,-0.2793939393939382
dead-Acaryochloris_marina_S15.fa_COG0513.faa.final_tree.fa___hmms___ce3446ff51c2e189faed75e514d87d63215fb0d8268bcd68c2986a4d,24,37,11,3.3636363636363638,0.30595482546201236,0.08418891170431211,474.41216666666634,0.9924940725244066,-0.2743326488706368
