name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
hupb-Acaryochloris_marina_MBIC11017.fa_COG0776.faa.final_tree.fa___hmms___fafdc17029bf4339f501d602e5415c077f4badf38f35257551d76008,8,5,12,0.4166666666666667,0.3296703296703297,0.04395604395604396,82.73294047619046,1.0089382984901276,-0.3483516483516483
hupb-Acaryochloris_marina_MBIC11017.fa_COG0776.faa.final_tree.fa___hmms___59aa4a289677d52a049be77b333d2ef8c100b651379b81528b7e268f,7,4,15,0.26666666666666666,0.3333333333333333,0.043010752688172046,85.15225000000002,1.013717261904762,-0.3698924731182795
hupb-Acaryochloris_marina_MBIC11017.fa_COG0776.faa.final_tree.fa___hmms___66dd9525698e729ee0d40cb854726269b3d2dd9534d701b8594c6397,7,5,12,0.4166666666666667,0.27472527472527475,0.04395604395604396,83.23859523809524,1.0151048199767712,-0.587912087912088
hupb-Acaryochloris_marina_MBIC11017.fa_COG0776.faa.final_tree.fa___hmms___383416da0398f884191f8d832bb4c6fae3ceec476263ccfa0d6d5c34,8,5,11,0.45454545454545453,0.27472527472527475,0.04395604395604396,82.90866666666665,1.011081300813008,-0.4835164835164836
hupb-Acaryochloris_marina_MBIC11017.fa_COG0776.faa.final_tree.fa___hmms___48140b8025ae909fa2df15b0fcf27d8ec8b2137a7357cc99b70a3c59,8,4,12,0.3333333333333333,0.2967032967032967,0.04395604395604396,83.12030952380952,1.0136623112659697,-0.4527472527472528
hupb-Acaryochloris_marina_MBIC11017.fa_COG0776.faa.final_tree.fa___hmms___c9a4bf9c07707c8f7a0ac818789f08da70ec2df024a817eeeddb18c0,9,5,13,0.38461538461538464,0.27472527472527475,0.04395604395604396,83.21555952380955,1.0148238966318237,-0.5835164835164834
hupb-Acaryochloris_marina_MBIC11017.fa_COG0776.faa.final_tree.fa___hmms___a9d505d6d2332bce7bc392ad5c99e9174190f5dce291e6749739f217,8,4,12,0.3333333333333333,0.27472527472527475,0.04395604395604396,83.1820357142857,1.014415069686411,-0.5153846153846154
hupb-Acaryochloris_marina_S15.fa_COG0776.faa.final_tree.fa___hmms___683702b70cf222e4a12ae80d22a448ebc8ec62831a97ebd163c417ff,7,4,15,0.26666666666666666,0.3333333333333333,0.043010752688172046,85.15225000000002,1.013717261904762,-0.3698924731182795
hupb-Acaryochloris_marina_S15.fa_COG0776.faa.final_tree.fa___hmms___3e7ac5c3925bb1ab184a3c7e8d7fb342ee569477aa2e72eeced95953,8,5,12,0.4166666666666667,0.3296703296703297,0.04395604395604396,82.73294047619046,1.0089382984901276,-0.3483516483516483
hupb-Acaryochloris_marina_S15.fa_COG0776.faa.final_tree.fa___hmms___6a62e567fe8f0579fdd89034b56df8e7fcc54d40d60625737fd0ebeb,9,5,11,0.45454545454545453,0.3076923076923077,0.04395604395604396,82.83998809523811,1.0102437572590013,-0.378021978021978
hupb-Acaryochloris_marina_S15.fa_COG0776.faa.final_tree.fa___hmms___081d8d10b569bdd60127f9c2fe0f32310cb1ed6a6ccaf3c54442f907,8,4,12,0.3333333333333333,0.28571428571428575,0.04395604395604396,83.1450357142857,1.0139638501742159,-0.4527472527472528
hupb-Acaryochloris_marina_S15.fa_COG0776.faa.final_tree.fa___hmms___34dec8d03d3099a9535c8b587f31e062790752995dbc747fd8fee897,8,5,11,0.45454545454545453,0.29670329670329665,0.04395604395604396,83.11514285714287,1.0135993031358888,-0.4780219780219779
hupb-Acaryochloris_marina_S15.fa_COG0776.faa.final_tree.fa___hmms___233a17d11343e49e636f1a73f1208acd999221191d8498035ce1f020,8,5,13,0.38461538461538464,0.2967032967032967,0.04395604395604396,83.11761904761904,1.01362950058072,-0.5120879120879122
hupb-Acaryochloris_marina_S15.fa_COG0776.faa.final_tree.fa___hmms___4bc4cb8ee26c91ed838d1d13941e29c7bef20c2f19b36481bc2cd99f,8,4,12,0.3333333333333333,0.3076923076923077,0.04395604395604396,82.99298809523812,1.012109610917538,-0.40109890109890095
hupb-Allocoleopsis_franciscana_PCC_7113.fa_COG0776.faa.final_tree.fa___hmms___072625bc1d82616c15333956ac33eacfb7a3703fcad6c8f7a6cd9c28,7,4,14,0.2857142857142857,0.30851063829787234,0.0425531914893617,86.43739285714284,1.0169105042016804,-0.5297872340425532
hupb-Anabaena_cylindrica_PCC_7122.fa_COG0776.faa.final_tree.fa___hmms___d1d49d8974900cd0910808081948521fea0f72bc6f812c7347ac8024,6,6,11,0.5454545454545454,0.30851063829787234,0.0425531914893617,86.15938095238094,1.0136397759103641,-0.48510638297872355
hupb-Anabaena_sp_4-3.fa_COG0776.faa.final_tree.fa___hmms___780b425e62e056fc32f12966639def0ed6b5ccc1a0cf88ee719332e3,6,6,11,0.5454545454545454,0.3297872340425532,0.0425531914893617,86.09338095238095,1.012863305322129,-0.40744680851063847
hupb-Anabaena_sp_90.fa_COG0776.faa.final_tree.fa___hmms___8ebb5c93541447ec972ffa228de9b929087b6b7d102d734262d8d155,6,4,13,0.3076923076923077,0.2751677852348993,0.12751677852348994,140.73838095238096,1.005274149659864,-0.2979865771812081
hupb-Anabaena_sp_90.fa_COG0776.faa.final_tree.fa___hmms___e8f2a93a080db6664e5ac50e951b40ab54a949c928cbf523e1ad8cc1,6,7,11,0.6363636363636364,0.30927835051546393,0.041237113402061855,89.14192857142858,1.012976461038961,-0.5453608247422682
hupb-Anabaena_sp_AL93.fa_COG0776.faa.final_tree.fa___hmms___cd01a8971c5733593a480f448a83fee517b528b36afea666ef1ef6c8,6,7,11,0.6363636363636364,0.29896907216494845,0.041237113402061855,89.22292857142858,1.0138969155844157,-0.6278350515463919
hupb-Anabaena_sp_CRKS33.fa_COG0776.faa.final_tree.fa___hmms___ba17a6ff8b4add8e634053a8c239a8c397437563bea1057fc027fa74,6,7,10,0.7,0.30851063829787234,0.0425531914893617,86.0699047619048,1.0125871148459387,-0.569148936170213
hupb-Anabaena_sp_PCC_7108.fa_COG0776.faa.final_tree.fa___hmms___93ea5c9532a6188dc0124d965245616ed0edc4c295acbef66c8c8253,6,6,11,0.5454545454545454,0.3191489361702128,0.0425531914893617,86.13438095238095,1.0133456582633054,-0.45744680851063835
hupb-Anabaena_sp_WA102.fa_COG0776.faa.final_tree.fa___hmms___0fdd2061b094fe1a3a3ea2f0dc742563efdfa3495567354a29d836db,6,7,11,0.6363636363636364,0.29896907216494845,0.041237113402061855,89.22292857142858,1.0138969155844157,-0.6278350515463919
hupb-Anabaena_sp_WA102.fa_COG0776.faa.final_tree.fa___hmms___a0351ec8412a6b13b1e9c9d1be45575adec5fc7687746f0eca8f0ee8,9,9,12,0.75,0.2573099415204678,0.10526315789473684,163.19589285714287,1.0073820546737213,-0.41520467836257335
hupb-Anabaena_sp_YBS01.fa_COG0776.faa.final_tree.fa___hmms___ca06e7c513d9ec4090f09fcf9fa12ba0c46266379ca598c759523bf4,6,6,11,0.5454545454545454,0.3297872340425532,0.0425531914893617,86.06988095238098,1.012586834733894,-0.40744680851063847
hupb-Anabaena_sp_YBS01.fa_COG0776.faa.final_tree.fa___hmms___b4795d7cd8e63776f296a2879e5461e9f700bcb91c29405c01bd5890,5,9,7,1.2857142857142858,0.24999999999999997,0.0625,71.59040476190474,1.0083155600268272,-0.6975000000000002
hupb-Anthocerotibacter_panamensis_C109.fa_COG0776.faa.final_tree.fa___hmms___3c5d50465a73d224e588d9e963af4c460256191e722dc65a2a342f19,7,14,1,14.0,0.32989690721649484,0.030927835051546393,87.3907380952381,0.9930765692640694,-0.1082474226804124
hupb-Anthocerotibacter_panamensis_C109.fa_COG0776.faa.final_tree.fa___hmms___90ed643c4a0bf036972446ad3cb71ff48b64fe00f0b6248c6a18773c,8,4,15,0.26666666666666666,0.28125,0.078125,120.59047619047615,1.013365346138455,-0.4226562499999999
hupb-Aphanizomenon_flos-aquae_LD13.fa_COG0776.faa.final_tree.fa___hmms___0a66e13576639e77ae54cf3f6a9ef06653835de3b121dcc72d23fe95,6,7,12,0.5833333333333334,0.28,0.04,92.53760714285717,1.0168967817896393,-0.7720000000000001
hupb-Aphanizomenon_flos-aquae_MDT14a.fa_COG0776.faa.final_tree.fa___hmms___c1b12761ba352b4acbd356e1a4fe55eec79a5568cf406ef2b3ada692,7,4,16,0.25,0.28346456692913385,0.07874015748031496,119.03240476190471,1.0087491928974976,-0.37874015748031503
