name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
PsbB-Acaryochloris_marina_MBIC11017.fa_2Z7TN.faa.final_tree.fa___photo_hmms___b2145319f9ccdadc9b8dcae88619aa589905a56db160a638e7471723,61,20,10,2.0,0.3038793103448276,0.14870689655172414,450.06904761904735,0.9891627420198843,0.08663793103448261
PsbB-Acaryochloris_marina_MBIC11017.fa_2Z7TN.faa.final_tree.fa___photo_hmms___4fed199594c614844d87b794186d3d23d7b2c5cc5bd49e5411a07808,42,8,7,1.1428571428571428,0.32970027247956407,0.15258855585831063,353.16771428571417,0.9865019952114921,0.2910081743869205
PsbB-Acaryochloris_marina_MBIC11017.fa_2Z7TN.faa.final_tree.fa___photo_hmms___4997eda509dad8c8a2cc507ea33b2ad687cb355bd91d917648d6ab23,41,5,13,0.38461538461538464,0.348314606741573,0.15168539325842698,341.96100000000035,0.985478386167148,0.42556179775280933
PsbB-Acaryochloris_marina_MBIC11017.fa_2Z7TN.faa.final_tree.fa___photo_hmms___ef9f11df9986cf048d810f8b554614ca46c136d378065da974bbdc9d,34,12,7,1.7142857142857142,0.32664756446991405,0.1776504297994269,334.44407142857153,0.9836590336134456,0.25386819484240664
PsbB-Acaryochloris_marina_MBIC11017.fa_2Z7TN.faa.final_tree.fa___photo_hmms___c72b50ed552bad55858e8f311a0105d814b509c1d6e38fc972237b2e,55,25,11,2.272727272727273,0.26679841897233203,0.14624505928853754,492.5618452380952,0.9910701111430487,-0.03399209486166035
PsbB-Acaryochloris_marina_MBIC11017.fa_2Z7TN.faa.final_tree.fa___photo_hmms___4f7bd6a151af54caced5e352e2f64b777d9cbca1d010bcf092c5a074,41,6,11,0.5454545454545454,0.3144963144963145,0.1375921375921376,394.61640476190496,0.9914985044268969,0.15159705159705125
PsbB-Acaryochloris_marina_MBIC11017.fa_2Z7TN.faa.final_tree.fa___photo_hmms___3f9f00fd86f1ec309f51dd32ae849bea10b18a5ef801fc7928560b2d,40,9,8,1.125,0.34316353887399464,0.1394101876675603,359.1520833333335,0.9866815476190481,0.26782841823056286
PsbB-Acaryochloris_marina_MBIC11017.fa_2Z7TN.faa.final_tree.fa___photo_hmms___007a3f2f32e53e614f78be841501dcf404e87873838a3a47d4935f81,39,9,5,1.8,0.3517441860465116,0.1511627906976744,329.3575119047617,0.9831567519545125,0.4145348837209301
PsbB-Acaryochloris_marina_S15.fa_2Z7TN.faa.final_tree.fa___photo_hmms___3fb9383336cc9923660b15ccd40dc367ef64318a8e59c09d0ab20e3e,36,13,6,2.1666666666666665,0.2959770114942529,0.20977011494252873,332.4220357142858,0.9805959755583652,0.3247126436781605
PsbB-Acaryochloris_marina_S15.fa_2Z7TN.faa.final_tree.fa___photo_hmms___9cb4ec831edd1e9ca66c6040501af9c3e7a29d133b273bee4a002191,34,12,5,2.4,0.3039772727272727,0.1875,337.20946428571443,0.9831179716784677,0.2818181818181815
PsbB-Acaryochloris_marina_S15.fa_2Z7TN.faa.final_tree.fa___photo_hmms___906bfd8375c67c86214a0b09c870217767cddeedbeda4b4346c26b71,38,9,6,1.5,0.33999999999999997,0.14857142857142858,335.45690476190475,0.9837445887445887,0.326571428571428
PsbB-Acaryochloris_marina_S15.fa_2Z7TN.faa.final_tree.fa___photo_hmms___35dc652d620b45dd822c4a8999ff2891a810e16ba836b11dc26db1f5,60,20,10,2.0,0.30603448275862066,0.14870689655172414,449.87092857142846,0.988727315541601,0.1131465517241376
