name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
acee-Acaryochloris_marina_MBIC11017.fa_COG2609.faa.final_tree.fa___hmms___d5425eb48613b19bb716d3f17204c9ea258c0db3f4f1da970f61e276,62,28,31,0.9032258064516129,0.31886227544910184,0.07934131736526946,658.7846428571428,0.9996732061565141,-0.15523952095808422
acee-Acaryochloris_marina_S15.fa_COG2609.faa.final_tree.fa___hmms___230b5c9f6cb90d50c7f0491220cc5d16d124aad900858d3a37f623bc,63,29,30,0.9666666666666667,0.31736526946107785,0.07634730538922155,658.7618333333331,0.9996385938290335,-0.16661676646706639
acee-Allocoleopsis_franciscana_PCC_7113.fa_COG2609.faa.final_tree.fa___hmms___e0de76f452bde50fdbdd3f2366b7bf1d549e0317d2e2dfeed0c9c341,63,27,36,0.75,0.32238805970149254,0.08358208955223881,661.3914642857135,1.0005922303868586,-0.16402985074626908
acee-Anabaena_cylindrica_PCC_7122.fa_COG2609.faa.final_tree.fa___hmms___9cc70fff1707c1052f463513837dbfebc0aecb88ba6bfd11be362eac,50,27,31,0.8709677419354839,0.3437990580847724,0.07378335949764521,628.1867023809534,1.0002972967849577,-0.19481946624803795
acee-Anabaena_cylindrica_PCC_7122.fa_COG2609.faa.final_tree.fa___hmms___2a375422d504bc0d1447c4669da82a12760911c502d51768e5c0e11e,64,22,39,0.5641025641025641,0.31343283582089554,0.08208955223880596,661.3197738095241,1.0004837727829412,-0.16507462686567212
acee-Anabaena_sp_4-3.fa_COG2609.faa.final_tree.fa___hmms___c9a3771efc92ac085100efb1b665118744517a923af5e9c4a42713f3,52,30,23,1.3043478260869565,0.35837245696400627,0.07042253521126761,629.1734523809515,0.998688019652304,-0.13521126760563426
acee-Anabaena_sp_4-3.fa_COG2609.faa.final_tree.fa___hmms___fb064299d19dd48d3659bc6d97584bce5b0cccf8bb3475c8a1f85e1e,66,22,43,0.5116279069767442,0.3283582089552239,0.08208955223880597,661.6805238095245,1.0010295367768904,-0.1482089552238811
acee-Anabaena_sp_90.fa_COG2609.faa.final_tree.fa___hmms___076c843095e6b84bfceb1ed8ac8fdb71e640f1bde25826f9deb624dc,68,20,39,0.5128205128205128,0.3238805970149254,0.08208955223880597,661.0761547619048,1.0001152114400982,-0.10164179104477664
acee-Anabaena_sp_AL93.fa_COG2609.faa.final_tree.fa___hmms___e972d270cc1946ca67f8e96f5910af578ab95d4a61f13dfb9214b2c4,67,20,41,0.4878048780487805,0.32089552238805974,0.08208955223880597,661.1071547619057,1.000162110078526,-0.11791044776119461
acee-Anabaena_sp_CRKS33.fa_COG2609.faa.final_tree.fa___hmms___aa4ad6c696a50b084ba9fe351d59ee30e0bb89e87c88c2b415ed92e3,67,21,38,0.5526315789473685,0.32686567164179103,0.08059701492537313,660.8637738095239,0.9997939089402782,-0.10059701492537373
acee-Anabaena_sp_PCC_7108.fa_COG2609.faa.final_tree.fa___hmms___14f202c050886d7936b22996f5957aa822b00429bed8cbec711facbc,70,20,40,0.5,0.32238805970149254,0.08358208955223881,660.9657738095245,0.9999482205892958,-0.10268656716417965
