name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
nusa-Acaryochloris_marina_MBIC11017.fa_COG0195.faa.final_tree.fa___hmms___5a87b68faeb62821afe5836c6e716d381eb711036bec747c4f5ac0ed,19,32,16,2.0,0.3495575221238938,0.048672566371681415,446.14152380952373,1.0070914758679994,-0.4157079646017699
nusa-Acaryochloris_marina_S15.fa_COG0195.faa.final_tree.fa___hmms___0bebbac4e66a1ace2e357800c1a3a3fd4eba79c235ba4d59aae076a6,19,32,16,2.0,0.3509933774834437,0.046357615894039736,447.0354166666665,1.0068365240240236,-0.38874172185430494
nusa-Allocoleopsis_franciscana_PCC_7113.fa_COG0195.faa.final_tree.fa___hmms___766c0cd828bcd5303230b814d582c5b3055102aab6415d3dadc35100,21,33,20,1.65,0.33255269320843095,0.05386416861826698,420.92071428571427,1.0069873547505126,-0.4772833723653395
nusa-Anabaena_cylindrica_PCC_7122.fa_COG0195.faa.final_tree.fa___hmms___8dce1942e16af98dd54f45c589567e699901b9bd2b9e79313cad9170,22,35,18,1.9444444444444444,0.31529411764705884,0.058823529411764705,419.21590476190477,1.0077305402930403,-0.5778823529411763
nusa-Anabaena_sp_4-3.fa_COG0195.faa.final_tree.fa___hmms___066cd806f0b288e8df2a6329cacd09cf85ccf22778d77c0304789e03,21,35,17,2.0588235294117645,0.32629107981220656,0.05633802816901409,419.82054761904743,1.0067639031631832,-0.5516431924882625
nusa-Anabaena_sp_90.fa_COG0195.faa.final_tree.fa___hmms___32e15aaf46b15b8874c098f0da4048fde30bad87c0b8ff6435da92a1,21,37,17,2.176470588235294,0.32235294117647056,0.05647058823529412,418.926642857143,1.0070351991758246,-0.5614117647058823
nusa-Anabaena_sp_AL93.fa_COG0195.faa.final_tree.fa___hmms___88e9a4b3de53813e97572dc6e03f6edf600c52c53468a6fdffac725f,21,39,17,2.2941176470588234,0.32,0.05647058823529412,418.9252380952383,1.0070318223443229,-0.5799999999999998
nusa-Anabaena_sp_CRKS33.fa_COG0195.faa.final_tree.fa___hmms___d92b4ad84e5a35f22fe3d9eabee68d2c6e7e5e4f3adbc5c56a5ea353,21,34,19,1.7894736842105263,0.3261390887290168,0.05995203836930456,410.7907619047622,1.0068401027077505,-0.5206235011990406
nusa-Anabaena_sp_PCC_7108.fa_COG0195.faa.final_tree.fa___hmms___d7ac6345542d9d06eba359b1797a3524566f0ca10a8bcbbf924dbced,21,34,20,1.7,0.32,0.058823529411764705,419.0346547619047,1.0072948431776554,-0.5663529411764703
nusa-Anabaena_sp_WA102.fa_COG0195.faa.final_tree.fa___hmms___48d79b74b0e15c1fdaf5dea06cc4f8c93a0786f6386611b9418daf20,21,39,17,2.2941176470588234,0.32,0.05647058823529412,418.9252380952383,1.0070318223443229,-0.5799999999999998
nusa-Anabaena_sp_YBS01.fa_COG0195.faa.final_tree.fa___hmms___2fa7dc28d1ef114e0f175d8dc8f8a8fbad9cfaf3aea61b8c10a79f92,19,34,19,1.7894736842105263,0.3247058823529412,0.058823529411764705,419.30255952380935,1.007938845009157,-0.561882352941176
nusa-Anthocerotibacter_panamensis_C109.fa_COG0195.faa.final_tree.fa___hmms___f36da7c5373639ab7278cb9846ebd34873baba3699d69293d9e2dd47,26,30,21,1.4285714285714286,0.3263157894736842,0.060526315789473685,373.00004761904785,1.0053909639327436,-0.3336842105263161
nusa-Aphanizomenon_flos-aquae_LD13.fa_COG0195.faa.final_tree.fa___hmms___56428e39cffe94ca8d1cb79a70ac3f652708989fb59d39449d61b21c,21,37,18,2.0555555555555554,0.31529411764705884,0.05411764705882353,419.0769523809523,1.00739652014652,-0.592235294117647
nusa-Aphanizomenon_flos-aquae_MDT14a.fa_COG0195.faa.final_tree.fa___hmms___8110f6a4e63fb559c2b66c520e10e54a62f83b8cc2e0ff4ce0696433,21,38,17,2.235294117647059,0.3176470588235294,0.05411764705882353,418.9129523809523,1.0070022893772892,-0.5814117647058823
nusa-Aphanizomenon_flos-aquae_UKL13-PB.fa_COG0195.faa.final_tree.fa___hmms___3c38f17093d3b2837ebe1ff65367ad7a5bef6ad560e76ec8af846f8a,21,38,17,2.235294117647059,0.3176470588235294,0.05411764705882353,418.9129523809523,1.0070022893772892,-0.5814117647058823
nusa-Arthrospira_sp_PCC_9108.fa_COG0195.faa.final_tree.fa___hmms___5af0ac3f87b43a4ae03cb3e6b5d341be156cb3a9af5c07d12b208464,20,32,19,1.6842105263157894,0.3373493975903614,0.05301204819277108,408.87045238095266,1.007070079756041,-0.4385542168674701
nusa-Calothrix_sp_336_3.fa_COG0195.faa.final_tree.fa___hmms___fc624e3e648e718c33dbc912f10a0db46d11d87be087abd431ec3640,23,36,22,1.6363636363636365,0.30751708428246016,0.05694760820045558,434.45007142857156,1.0103490033222595,-0.6615034168564918
nusa-Calothrix_sp_HK-06.fa_COG0195.faa.final_tree.fa___hmms___f1b9b91d86f79738b585c4c289ba97a04ec81e1b806ab419acf2b5e4,24,40,22,1.8181818181818181,0.31929046563192903,0.057649667405764965,446.2085714285715,1.0095216548157726,-0.6241685144124166
nusa-Calothrix_sp_NIES-2098.fa_COG0195.faa.final_tree.fa___hmms___c8de500739e8b66fa65a030f1149756dc80c65757abc9c7a2acf5786,20,34,20,1.7,0.3233256351039261,0.05542725173210162,427.77613095238064,1.0089059692273128,-0.593533487297921
nusa-Calothrix_sp_NIES-3974.fa_COG0195.faa.final_tree.fa___hmms___315f81b48d43154bf1fe51e0fb4b1c3d194f26c602c29c89385fc35f,22,37,23,1.608695652173913,0.3373737373737374,0.04646464646464647,491.0038214285717,1.010295928865374,-0.5842424242424235
nusa-Calothrix_sp_NIES-4071.fa_COG0195.faa.final_tree.fa___hmms___f244a1a44bd83fe0d9393d4c01c3409dc706a45cb00b4d7aedaaff3f,24,39,24,1.625,0.3201754385964912,0.05482456140350877,451.5308095238095,1.0101360392031533,-0.6309210526315785
nusa-Calothrix_sp_PCC_6303.fa_COG0195.faa.final_tree.fa___hmms___ba07196a30d0bf0b5e9a594a13ee7ebf2711138a253b8c5a9d19896e,21,33,24,1.375,0.3141592920353983,0.06415929203539823,446.8288928571426,1.008643099000322,-0.5798672566371676
nusa-Calothrix_sp_PCC_7103.fa_COG0195.faa.final_tree.fa___hmms___a7769e8f7c0d29295bcac1abc59b455b29f8a9e0d9a83e48b6afffed,23,40,22,1.8181818181818181,0.31929046563192903,0.057649667405764965,446.13157142857153,1.0093474466709764,-0.6310421286031039
nusa-Calothrix_sp_PCC_7507.fa_COG0195.faa.final_tree.fa___hmms___9e3b3c5eace0607147ea7c7a9e5f8f0a33f524d22d36ef5a007099f0,21,34,19,1.7894736842105263,0.30892448512585813,0.06407322654462243,431.71813095238076,1.008687221851357,-0.5816933638443932
nusa-Candidatus_Atelocyanobacterium_thalassa.fa_COG0195.faa.final_tree.fa___hmms___0a9d5225e81e2ad4dc5645189f1651d067a8b8db972180b4022e35c0,19,31,17,1.8235294117647058,0.33850129198966405,0.0516795865633075,379.7932619047617,1.0047440791131264,-0.3917312661498708
nusa-Chlorogloeopsis_fritschii_PCC_6912.fa_COG0195.faa.final_tree.fa___hmms___4c14f4468f16625bd0fe203bb37fa6fe0420b7cee0954094897a6a94,23,34,21,1.619047619047619,0.32036613272311215,0.05491990846681922,431.6626904761905,1.0085576880284826,-0.6196796338672768
nusa-Chlorogloeopsis_fritschii_PCC_9212.fa_COG0195.faa.final_tree.fa___hmms___a895e123ff0bec0922e3136877fc0e0896da80aaffb6c7aae8776b57,23,34,21,1.619047619047619,0.32036613272311215,0.05491990846681922,431.6626904761905,1.0085576880284826,-0.6196796338672768
nusa-Chondrocystis_sp_NIES-4102.fa_COG0195.faa.final_tree.fa___hmms___a9311866bbc1765103fc1dd1bab510b19d060ce17510adbf9f7cdafb,19,31,25,1.24,0.3295711060948081,0.04966139954853273,438.1235119047618,1.0095011795040594,-0.4887133182844244
nusa-Chroococcidiopsis_thermalis_PCC_7203.fa_COG0195.faa.final_tree.fa___hmms___dc0614b8d132032a1c0474f88c78cad3c69c8615343dc3911e10dd11,19,34,20,1.7,0.3333333333333333,0.0518018018018018,438.65094047619067,1.0083929666119327,-0.528603603603603
