name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
infc-Acaryochloris_marina_MBIC11017.fa_COG0290.faa.final_tree.fa___hmms___050b4dc4b614e8feb1a23d3829641cb2a53826abfd3e5f48e3bffda1,6,14,23,0.6086956521739131,0.2711864406779661,0.05649717514124294,169.83344047619048,1.0109133361678004,-0.8429378531073449
infc-Acaryochloris_marina_MBIC11017.fa_COG0290.faa.final_tree.fa___hmms___265f11137d72c9e97d9c8f6d668ac635e8ce4df78a4bb2f7414c9a20,6,12,11,1.0909090909090908,0.2692307692307692,0.06730769230769232,95.993880952381,1.0104619047619052,-0.878846153846154
infc-Acaryochloris_marina_S15.fa_COG0290.faa.final_tree.fa___hmms___985648294923c2285306dab58c88c1bc99330ef20c017071f3200e9d,5,14,11,1.2727272727272727,0.2991452991452992,0.05982905982905983,109.15807142857146,1.0107228835978839,-0.7316239316239316
infc-Acaryochloris_marina_S15.fa_COG0290.faa.final_tree.fa___hmms___d826b829656af3afb9ee41836aa11b7bad3a750517e0ec58b44d71e7,6,14,22,0.6363636363636364,0.2711864406779661,0.05649717514124294,169.84544047619048,1.010984764739229,-0.8406779661016954
infc-Allocoleopsis_franciscana_PCC_7113.fa_COG0290.faa.final_tree.fa___hmms___ea19835736a27fab0a566b2c2ec985786fd2b067ff10786acbf5856a,7,18,18,1.0,0.26857142857142857,0.045714285714285714,167.8799047619049,1.0113247274813548,-0.9091428571428568
infc-Allocoleopsis_franciscana_PCC_7113.fa_COG0290.faa.final_tree.fa___hmms___78bf362fed87d328dee1ce16583264d08b3d43bfa30bcff62822f75f,8,12,21,0.5714285714285714,0.2808988764044944,0.03932584269662921,170.44676190476193,1.0085607213299523,-0.6926966292134835
infc-Allocoleopsis_franciscana_PCC_7113.fa_COG0290.faa.final_tree.fa___hmms___1672848df0ac7014698828a97774e8c2fa2aeaf40b4ac03d5f724379,9,14,11,1.2727272727272727,0.3125,0.034722222222222224,136.3376547619047,1.0099085537918866,-0.7201388888888892
infc-Anabaena_cylindrica_PCC_7122.fa_COG0290.faa.final_tree.fa___hmms___bd311fb7da84d0281292dc5a5b56a7d8877fda3cd9ee3c26ee2c57fd,7,15,23,0.6521739130434783,0.2824858757062147,0.04519774011299435,170.0003452380954,1.011906816893425,-0.791525423728814
infc-Anabaena_sp_4-3.fa_COG0290.faa.final_tree.fa___hmms___1f460a024cddf056bd16c53486aa9c3a2d30abe6e3f66a2384f3d95e,6,15,23,0.6521739130434783,0.2711864406779661,0.05084745762711865,170.11210714285724,1.0125720663265312,-0.8310734463276838
infc-Anabaena_sp_4-3.fa_COG0290.faa.final_tree.fa___hmms___0637a1c0ea939e0b5fe66e790bf26b7bcf6b211835733118b9177dd8,9,13,10,1.3,0.3263888888888889,0.05555555555555555,135.61022619047625,1.0045201940035278,-0.5895833333333336
infc-Anabaena_sp_90.fa_COG0290.faa.final_tree.fa___hmms___072d7cf949c804bea9edf5036eef082a71197e78e39b75d6e36f23ed,7,15,23,0.6521739130434783,0.2711864406779661,0.05084745762711865,170.12134523809536,1.012627054988663,-0.8322033898305089
infc-Anabaena_sp_AL93.fa_COG0290.faa.final_tree.fa___hmms___771cb4af3eb6e2c5ee61685eb94833aceeb67108e9a786a0feb30de9,7,15,23,0.6521739130434783,0.2711864406779661,0.05084745762711865,170.12134523809536,1.012627054988663,-0.8322033898305089
infc-Anabaena_sp_CRKS33.fa_COG0290.faa.final_tree.fa___hmms___fbbb9662d8bfb5dcf979e24fc88fb8a4a1e234bf690e01ccf1dd8cb7,7,15,23,0.6521739130434783,0.2711864406779661,0.05084745762711865,170.12134523809536,1.012627054988663,-0.8322033898305089
infc-Anabaena_sp_PCC_7108.fa_COG0290.faa.final_tree.fa___hmms___86ae1e54fb6882362ac8560ba1eb893a8c0d4798ac2c2862802a7836,7,15,23,0.6521739130434783,0.2711864406779661,0.05084745762711865,170.20834523809532,1.0131449121315197,-0.8559322033898306
infc-Anabaena_sp_WA102.fa_COG0290.faa.final_tree.fa___hmms___a1276f5ce0915f7686007b8282a887da413bb14fd8eaac01cd10ce52,7,15,23,0.6521739130434783,0.2711864406779661,0.05084745762711865,170.12134523809536,1.012627054988663,-0.8322033898305089
infc-Anabaena_sp_YBS01.fa_COG0290.faa.final_tree.fa___hmms___9ce157866c879486c1edafff3808098407664c979be44e837964d425,8,12,11,1.0909090909090908,0.3194444444444444,0.05555555555555556,135.98771428571425,1.0073164021164018,-0.5944444444444446
infc-Anabaena_sp_YBS01.fa_COG0290.faa.final_tree.fa___hmms___c56341b9a1cdc974b46c7ca5f0e4fd2f808f2fe4b637dd8280780aa4,7,15,23,0.6521739130434783,0.2655367231638418,0.05084745762711865,170.27434523809535,1.013537769274377,-0.8723163841807908
