name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
PsbA-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___fce1b145354508c00ca66b5413cbb64f6017ab19d1701ae6813f341c,31,12,3,4.0,0.3415977961432507,0.11570247933884298,348.63602380952386,0.9848475248856606,0.4418732782369151
PsbA-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___b006de2b636427f602bf6764c7fc74d6d31856eccace1f9c61ad1545,34,15,3,5.0,0.3190883190883191,0.16524216524216523,336.5166428571431,0.9839667919799506,0.3584045584045584
PsbA-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___c106e9b54c199e75274ba5126eb62ce00f3a04d1db2674417fd570de,35,13,1,13.0,0.3222222222222222,0.14444444444444443,345.555797619048,0.9844894519061197,0.34944444444444406
PsbA-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___1d32166138c9cfca954893d74cbb67f18c899d89a4221f4af071f1f2,35,13,1,13.0,0.3222222222222222,0.14444444444444443,345.555797619048,0.9844894519061197,0.34944444444444406
PsbA-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___f1b8b0472e3f8ac6afe4fb22111d82ee7d01d0821c7ef31e69461bc7,34,15,3,5.0,0.3190883190883191,0.16524216524216523,336.5166428571431,0.9839667919799506,0.3584045584045584
PsbA-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___345b74f92efbafe3930bbaa642316be6e6d5d0348a471ea2bdc43377,33,16,4,4.0,0.3076923076923077,0.16524216524216523,336.63578571428576,0.9843151629072683,0.3424501424501425
PsbA-Acaryochloris_marina_S15.fa_2Z87P.faa.final_tree.fa___photo_hmms___af14905f5fe512e3c262b688f00c88107175deca9028d097b8b6235a,34,15,3,5.0,0.3190883190883191,0.16524216524216523,336.5556428571431,0.9840808270676699,0.3689458689458693
PsbA-Acaryochloris_marina_S15.fa_2Z87P.faa.final_tree.fa___photo_hmms___b68981eec4ece5330e3d6b7fcfba4fb55ff2071e08643bb794376891,34,15,3,5.0,0.3190883190883191,0.16524216524216523,336.5556428571431,0.9840808270676699,0.3689458689458693
PsbA-Acaryochloris_marina_S15.fa_2Z87P.faa.final_tree.fa___photo_hmms___f370bf7e054c0a5de1c1652c367d5ec112e1e241ec5f09ede76cc833,35,13,1,13.0,0.3222222222222222,0.14444444444444443,345.555797619048,0.9844894519061197,0.34944444444444406
PsbA-Acaryochloris_marina_S15.fa_2Z87P.faa.final_tree.fa___photo_hmms___2a81312202cb8707a2180d4b55db854781fa79adeb35361f1961ec41,35,13,1,13.0,0.3222222222222222,0.14444444444444443,345.555797619048,0.9844894519061197,0.34944444444444406
PsbA-Acaryochloris_marina_S15.fa_2Z87P.faa.final_tree.fa___photo_hmms___7026466802d47be44a09d50aaac1e187aa21820e31ce3567e1f581b5,35,13,1,13.0,0.3222222222222222,0.14444444444444443,345.555797619048,0.9844894519061197,0.34944444444444406
PsbA-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___e194641e3ff5d1125e0100f610866d6d640086a35ad41f8f692a3026,34,14,1,14.0,0.3277777777777778,0.1472222222222222,345.90051190476186,0.9854715438882105,0.32805555555555505
PsbA-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___a8cd43cc47ccae3110ac15f64f12647c16b41233d71eb322d7b6d707,34,14,1,14.0,0.3277777777777778,0.1472222222222222,345.90051190476186,0.9854715438882105,0.32805555555555505
PsbA-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___9488a142fc95abe44cb53f302d39663aaf4eb90f13fc79bc06cf333c,32,11,1,11.0,0.35833333333333334,0.14166666666666666,345.6247976190476,0.9846860331026998,0.3991666666666671
PsbA-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___af2cee029d39146be6158e182fa66ce4c74e29eb9ea966aa020d5df1,35,14,1,14.0,0.3111111111111111,0.14722222222222223,345.870273809524,0.9853853954687294,0.27722222222222176
PsbA-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___1624cbdefb734563964d02c0faf3fdea257738836f278d409461e7e1,34,16,4,4.0,0.3210227272727273,0.1647727272727273,337.458642857143,0.9838444398167434,0.37244318181818303
PsbA-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___b68d7bd9b36446c8104b2c25c69af9fa4d2caaa42d0415c47d738432,34,16,4,4.0,0.3210227272727273,0.1647727272727273,337.458642857143,0.9838444398167434,0.37244318181818303
PsbA-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___7069814d4153585bf06efc51da8c1f0a42f5446ada395d23753ae694,34,14,1,14.0,0.3277777777777778,0.1472222222222222,345.89441666666664,0.9854541785375118,0.335555555555555
PsbA-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___4ec25398ba300def56c0ed569499ae06d001902ed89ea15ba9879215,34,14,1,14.0,0.3277777777777778,0.1472222222222222,345.89441666666664,0.9854541785375118,0.335555555555555
PsbA-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___9300690c0ffdf81f2a0b39746bd9240521dddb5b6db92fb605c0d157,34,13,1,13.0,0.33055555555555555,0.1388888888888889,345.6707261904764,0.9848168837335509,0.3522222222222217
PsbA-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___9daaa22dfe5260cc23e6e2c9d748a2d3c6fdfae8d5df6c5bce5bf65f,32,12,4,3.0,0.3403141361256544,0.12827225130890052,367.44642857142844,0.9851110685561084,0.33376963350785277
PsbA-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___edbc8a4c14a7a9e085bbfcc7d99659c741dd68abf0307ff5a6f1a04d,34,13,1,13.0,0.3416666666666666,0.1388888888888889,345.6984642857144,0.98489590964591,0.38722222222222213
PsbA-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___3d33f1247cd2ef827e195a54e146220af8b98bbf08be44a4a97e95db,35,15,3,5.0,0.32478632478632474,0.16524216524216523,336.67564285714303,0.9844317042606522,0.3866096866096875
PsbA-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___5b3919601b1b5e1664dfcace1899ac74a8a0d7850ddd8e18456b68dd,35,15,3,5.0,0.32478632478632474,0.16524216524216523,336.67564285714303,0.9844317042606522,0.3866096866096875
PsbA-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___74ffec3074a779245b5dde96e13f8ef6b9f182dd260900d888edaa38,34,13,1,13.0,0.3416666666666666,0.1388888888888889,345.7554642857144,0.9850583028083032,0.38722222222222213
PsbA-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___bdd29a1c41a4401e1adf12ca6a595e041915a9f31956a58d94512223,34,13,1,13.0,0.33055555555555555,0.1388888888888889,345.6707261904764,0.9848168837335509,0.3522222222222217
PsbA-Anabaena_sp_4-3.fa_2Z87P.faa.final_tree.fa___photo_hmms___5d367fde6763b2ad6237a35b9e0ff604456b966c2f4d16e2314434f0,33,12,1,12.0,0.33611111111111114,0.14166666666666666,345.7127142857143,0.984936507936508,0.35999999999999976
PsbA-Anabaena_sp_4-3.fa_2Z87P.faa.final_tree.fa___photo_hmms___99296f4750a308a6e079ab606b87318df06043bffd11c0acc7f87c6c,30,12,2,6.0,0.35,0.1361111111111111,345.9218214285714,0.9855322547822546,0.3958333333333337
PsbA-Anabaena_sp_4-3.fa_2Z87P.faa.final_tree.fa___photo_hmms___3a74defc55063423614e9006d6e43fb4d5edfd384ed91fe62e0d2ded,22,11,3,3.6666666666666665,0.33198380566801616,0.1700404858299595,233.98310714285716,0.9831222989195679,0.4352226720647768
PsbA-Anabaena_sp_4-3.fa_2Z87P.faa.final_tree.fa___photo_hmms___003002dd8684dd1c1958daf4e75a53043a819ae6c655d036da1d6af8,7,3,0,NA,0.37349397590361444,0.0963855421686747,73.23785714285714,0.9897007722007721,0.2831325301204821
