name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
gyra-Acaryochloris_marina_MBIC11017.fa_COG0188.faa.final_tree.fa___hmms___75ce4523e9406bd5d0d5d4d5b1ff218d6cb251113af59c4fbaf730c7,59,76,24,3.1666666666666665,0.33639494833524686,0.051664753157290466,862.6584761904764,1.000763893492432,-0.23983926521239962
gyra-Acaryochloris_marina_MBIC11017.fa_COG0188.faa.final_tree.fa___hmms___a3439ba821ec16bc7bbb35ef44f9a9dca0e61e272f62ddc4513e8df0,65,55,41,1.3414634146341464,0.3337378640776699,0.04368932038834951,816.4788452380953,1.0018145340344728,-0.22208737864077643
gyra-Acaryochloris_marina_S15.fa_COG0188.faa.final_tree.fa___hmms___d1450d46f688abb00b997ff02beb0a3a92f52955c3659aeee34c3306,63,56,39,1.435897435897436,0.33698296836982966,0.04257907542579076,814.6549404761903,1.0020355971416854,-0.19476885644768857
gyra-Acaryochloris_marina_S15.fa_COG0188.faa.final_tree.fa___hmms___eb7ed4d4b835cab4e3c451ab244039238da2529fac91a97850f44faf,58,76,25,3.04,0.33715596330275227,0.052752293577981654,863.5729047619053,1.000663852563042,-0.23325688073394532
gyra-Allocoleopsis_franciscana_PCC_7113.fa_COG0188.faa.final_tree.fa___hmms___48444d0823ef9ff6986f9ce5edd1da7a00b79939f68cf69b10ad307c,57,70,32,2.1875,0.3421354764638347,0.045924225028702644,862.1383571428564,1.0001605071262836,-0.21354764638346707
gyra-Allocoleopsis_franciscana_PCC_7113.fa_COG0188.faa.final_tree.fa___hmms___b708fb657efa8b01d3d1bc726ac54b5650787c53cd56aa7320102208,58,65,49,1.3265306122448979,0.32949308755760365,0.041474654377880185,861.8546190476197,1.0033231886468217,-0.327188940092165
gyra-Anabaena_cylindrica_PCC_7122.fa_COG0188.faa.final_tree.fa___hmms___063ed59ea336d75ddc8d9add73e80c709118c0267b128fa063e363de,62,66,37,1.7837837837837838,0.32844243792325056,0.046275395033860044,878.3452380952378,1.0015339088885267,-0.25609480812641083
gyra-Anabaena_cylindrica_PCC_7122.fa_COG0188.faa.final_tree.fa___hmms___3f710a1ea37ceef319b68e30d2ce9496f781ec90b2480d6a1475f0d1,65,63,42,1.5,0.3182359952324196,0.047675804529201435,831.7356071428572,1.0020910929432014,-0.2984505363528005
gyra-Anabaena_sp_4-3.fa_COG0188.faa.final_tree.fa___hmms___6fff19c0ed8390478e0391f6375ebc698f135d66ea7485e9344ebeaa,64,61,40,1.525,0.3317365269461078,0.03832335329341317,827.8897261904775,1.0022878041046943,-0.2669461077844306
gyra-Anabaena_sp_4-3.fa_COG0188.faa.final_tree.fa___hmms___3727c028019bf38c9a380fb3427043ff5213cef27359e3f0a83c60dd,58,67,33,2.0303030303030303,0.3302540415704388,0.046189376443418015,857.7937023809524,1.0009261404678558,-0.26836027713625854
gyra-Anabaena_sp_90.fa_COG0188.faa.final_tree.fa___hmms___9267d8aecca6ba830c9ef4d720895acf8fc185d5fd4cfcafa6991364,62,59,47,1.2553191489361701,0.3270365997638725,0.0448642266824085,839.7269047619046,1.0020607455392656,-0.2625737898465168
gyra-Anabaena_sp_90.fa_COG0188.faa.final_tree.fa___hmms___a339831ba721c5a23d53d76b0d5d8f7f7394eb46370a0e063811b638,57,70,35,2.0,0.33409350057012543,0.04561003420752566,868.3381309523809,1.0003895517884573,-0.21984036488027386
gyra-Anabaena_sp_AL93.fa_COG0188.faa.final_tree.fa___hmms___aac5b6222d0fb41abd6dbbebf5c526966e85c0885c84fee5c1db6cde,57,70,37,1.8918918918918919,0.3306818181818182,0.045454545454545456,871.5528095238096,1.0006346837242361,-0.2405681818181818
gyra-Anabaena_sp_AL93.fa_COG0188.faa.final_tree.fa___hmms___f751f1d02d4be06402310620d038841329e4c05c99519d81dc96cd99,61,58,46,1.2608695652173914,0.3246753246753247,0.043683589138134596,839.8229047619042,1.0021753040118189,-0.28512396694214837
gyra-Anabaena_sp_CRKS33.fa_COG0188.faa.final_tree.fa___hmms___99330a2b845155eca47959346fb28d28d65e55e5d88cd2ee33f55a21,62,58,48,1.2083333333333333,0.3261648745519713,0.04778972520908005,829.7204642857142,1.0020778554175294,-0.26296296296296273
gyra-Anabaena_sp_CRKS33.fa_COG0188.faa.final_tree.fa___hmms___1eb510b48a52cd278730888c5138e816cc5da8f45fe4952001e93936,58,66,38,1.736842105263158,0.330654420206659,0.04707233065442021,863.022130952381,1.0011857667661033,-0.256142365097589
gyra-Anabaena_sp_CRKS33.fa_COG0188.faa.final_tree.fa___hmms___26fa0488d5596c0af0f49a6d2a25631c34598b611968c9f2fed8b91a,18,9,6,1.5,0.3184357541899442,0.07262569832402235,169.87615476190476,0.9992714985994398,0.0016759776536313484
gyra-Anabaena_sp_PCC_7108.fa_COG0188.faa.final_tree.fa___hmms___8557cff679d5e48bc26fb7f4f25ea8c643af0735d40d6db63da39c1b,56,71,36,1.9722222222222223,0.330672748004561,0.04561003420752566,868.9464285714282,1.0010903554970372,-0.27890535917901926
