name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
PsaD-Acaryochloris_marina_MBIC11017.fa_2ZBN6.faa.final_tree.fa___photo_hmms___32285843398799ac7b438534146daf0f6e46e26b079361ef06ffd421,15,6,11,0.5454545454545454,0.26618705035971224,0.07194244604316548,131.10790476190473,1.008522344322344,-0.4906474820143883
PsaD-Acaryochloris_marina_S15.fa_2ZBN6.faa.final_tree.fa___photo_hmms___165d6570f3c7f2146f67e1021bf1fc0b1d6905d4cc0eff48dc62b7b0,15,6,10,0.6,0.2733812949640288,0.07194244604316548,131.0216547619047,1.0078588827838824,-0.4503597122302157
PsaD-Allocoleopsis_franciscana_PCC_7113.fa_2ZBN6.faa.final_tree.fa___photo_hmms___171d05d7d29e727e20da667082f3c75395677a0fec4b6d904dc8800d,15,6,13,0.46153846153846156,0.25531914893617025,0.10638297872340426,132.88433333333336,1.0066994949494952,-0.49574468085106366
PsaD-Anabaena_cylindrica_PCC_7122.fa_2ZBN6.faa.final_tree.fa___photo_hmms___41ba6d2023184dca7eb0e6e34c48e25091eea0d3750d79943b436a64,16,7,14,0.5,0.2589928057553957,0.08633093525179855,130.98633333333328,1.0075871794871791,-0.5151079136690647
PsaD-Anabaena_sp_4-3.fa_2ZBN6.faa.final_tree.fa___photo_hmms___76c59667c3cd24573da464bcad968f4b0e2526b690ed79c25a38b88e,16,7,14,0.5,0.27388535031847133,0.08917197452229299,148.97938095238086,1.0066174388674383,-0.3789808917197452
PsaD-Anabaena_sp_90.fa_2ZBN6.faa.final_tree.fa___photo_hmms___e6d7edf7132cc80ad534f9c063223f075bbaf32f4c48ecfa7e1dec90,16,7,13,0.5384615384615384,0.2753623188405797,0.07971014492753623,129.6617857142857,1.0051301218161683,-0.36376811594202907
PsaD-Anabaena_sp_AL93.fa_2ZBN6.faa.final_tree.fa___photo_hmms___ad7ed4139b7a2de221365761e64dc07d2f55e15780dcfb5f59a91c71,16,7,13,0.5384615384615384,0.2753623188405797,0.07971014492753623,129.6617857142857,1.0051301218161683,-0.36376811594202907
PsaD-Anabaena_sp_CRKS33.fa_2ZBN6.faa.final_tree.fa___photo_hmms___1aad57a3df0b1f668feb093eb8de2ff716eb3bc974541cbd9df0a146,15,7,13,0.5384615384615384,0.2753623188405797,0.07971014492753623,129.70278571428568,1.0054479512735324,-0.3492753623188406
PsaD-Anabaena_sp_PCC_7108.fa_2ZBN6.faa.final_tree.fa___photo_hmms___8ba8c42b3e16ad7cfb2c1f8fea9c9df17ba91c3e990ed39d8aa4ee0f,15,7,13,0.5384615384615384,0.26618705035971224,0.09352517985611511,131.04458333333326,1.008035256410256,-0.4812949640287769
PsaD-Anabaena_sp_WA102.fa_2ZBN6.faa.final_tree.fa___photo_hmms___d7e67310c2de0e5e49d01c3829fe035a05f45947c00c60154618a09a,16,7,13,0.5384615384615384,0.2753623188405797,0.07971014492753623,129.6617857142857,1.0051301218161683,-0.36376811594202907
