Sequence_ID,GC_content
PsbA-nuc-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___fce1b145354508c00ca66b5413cbb64f6017ab19d1701ae6813f341c,47.99
PsbA-nuc-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___b006de2b636427f602bf6764c7fc74d6d31856eccace1f9c61ad1545,51.7
PsbA-nuc-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___c106e9b54c199e75274ba5126eb62ce00f3a04d1db2674417fd570de,50.69
PsbA-nuc-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___1d32166138c9cfca954893d74cbb67f18c899d89a4221f4af071f1f2,50.51
PsbA-nuc-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___f1b8b0472e3f8ac6afe4fb22111d82ee7d01d0821c7ef31e69461bc7,51.7
PsbA-nuc-Acaryochloris_marina_MBIC11017.fa_2Z87P.faa.final_tree.fa___photo_hmms___345b74f92efbafe3930bbaa642316be6e6d5d0348a471ea2bdc43377,47.44
PsbA-nuc-Acaryochloris_marina_S15.fa_2Z87P.faa.final_tree.fa___photo_hmms___af14905f5fe512e3c262b688f00c88107175deca9028d097b8b6235a,50.38
PsbA-nuc-Acaryochloris_marina_S15.fa_2Z87P.faa.final_tree.fa___photo_hmms___b68981eec4ece5330e3d6b7fcfba4fb55ff2071e08643bb794376891,50.76
PsbA-nuc-Acaryochloris_marina_S15.fa_2Z87P.faa.final_tree.fa___photo_hmms___f370bf7e054c0a5de1c1652c367d5ec112e1e241ec5f09ede76cc833,50.6
PsbA-nuc-Acaryochloris_marina_S15.fa_2Z87P.faa.final_tree.fa___photo_hmms___2a81312202cb8707a2180d4b55db854781fa79adeb35361f1961ec41,50.6
PsbA-nuc-Acaryochloris_marina_S15.fa_2Z87P.faa.final_tree.fa___photo_hmms___7026466802d47be44a09d50aaac1e187aa21820e31ce3567e1f581b5,50.42
PsbA-nuc-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___e194641e3ff5d1125e0100f610866d6d640086a35ad41f8f692a3026,52.08
PsbA-nuc-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___a8cd43cc47ccae3110ac15f64f12647c16b41233d71eb322d7b6d707,52.08
PsbA-nuc-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___9488a142fc95abe44cb53f302d39663aaf4eb90f13fc79bc06cf333c,48.85
PsbA-nuc-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___af2cee029d39146be6158e182fa66ce4c74e29eb9ea966aa020d5df1,49.95
PsbA-nuc-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___1624cbdefb734563964d02c0faf3fdea257738836f278d409461e7e1,55.81
PsbA-nuc-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___b68d7bd9b36446c8104b2c25c69af9fa4d2caaa42d0415c47d738432,55.62
PsbA-nuc-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___7069814d4153585bf06efc51da8c1f0a42f5446ada395d23753ae694,52.17
PsbA-nuc-Allocoleopsis_franciscana_PCC_7113.fa_2Z87P.faa.final_tree.fa___photo_hmms___4ec25398ba300def56c0ed569499ae06d001902ed89ea15ba9879215,53.46
PsbA-nuc-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___9300690c0ffdf81f2a0b39746bd9240521dddb5b6db92fb605c0d157,47.46
PsbA-nuc-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___9daaa22dfe5260cc23e6e2c9d748a2d3c6fdfae8d5df6c5bce5bf65f,41.17
PsbA-nuc-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___edbc8a4c14a7a9e085bbfcc7d99659c741dd68abf0307ff5a6f1a04d,47.18
PsbA-nuc-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___3d33f1247cd2ef827e195a54e146220af8b98bbf08be44a4a97e95db,49.15
PsbA-nuc-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___5b3919601b1b5e1664dfcace1899ac74a8a0d7850ddd8e18456b68dd,48.96
PsbA-nuc-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___74ffec3074a779245b5dde96e13f8ef6b9f182dd260900d888edaa38,46.81
PsbA-nuc-Anabaena_cylindrica_PCC_7122.fa_2Z87P.faa.final_tree.fa___photo_hmms___bdd29a1c41a4401e1adf12ca6a595e041915a9f31956a58d94512223,47.46
PsbA-nuc-Anabaena_sp_4-3.fa_2Z87P.faa.final_tree.fa___photo_hmms___5d367fde6763b2ad6237a35b9e0ff604456b966c2f4d16e2314434f0,49.12
PsbA-nuc-Anabaena_sp_4-3.fa_2Z87P.faa.final_tree.fa___photo_hmms___99296f4750a308a6e079ab606b87318df06043bffd11c0acc7f87c6c,44.97
PsbA-nuc-Anabaena_sp_4-3.fa_2Z87P.faa.final_tree.fa___photo_hmms___3a74defc55063423614e9006d6e43fb4d5edfd384ed91fe62e0d2ded,50.74
PsbA-nuc-Anabaena_sp_4-3.fa_2Z87P.faa.final_tree.fa___photo_hmms___003002dd8684dd1c1958daf4e75a53043a819ae6c655d036da1d6af8,48.81
