name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
PsaB-Acaryochloris_marina_MBIC11017.fa_PsaB-Acaryochloris_marina_MBIC11017.fa_1FZXJ.faa.final_tree.fa___photo_hmms___10c7b238ea215159ac5afeb066735b821a9645b61242c58e9eb6cbac,77,22,20,1.1,0.3213811420982736,0.1301460823373174,733.6346428571419,0.9860680683563735,0.17782204515272218
PsaB-Acaryochloris_marina_MBIC11017.fa_PsaB-Acaryochloris_marina_MBIC11017.fa_1FZXJ.faa.final_tree.fa___photo_hmms___7bfa35620e2203a3d7e020c95a074bc33b552203d28dd098b3e89470,71,18,16,1.125,0.3179347826086957,0.1480978260869565,715.564630952381,0.9842704689853934,0.1800271739130433
PsaB-Acaryochloris_marina_S15.fa_PsaB-Acaryochloris_marina_S15.fa_1FZXJ.faa.final_tree.fa___photo_hmms___ce3f6b924c7308897369b65253e2212bde843119b5df859fefd23301,75,22,21,1.0476190476190477,0.32403718459495345,0.1301460823373174,733.2993928571423,0.9856174635176643,0.17516600265604224
PsaB-Acaryochloris_marina_S15.fa_PsaB-Acaryochloris_marina_S15.fa_1FZXJ.faa.final_tree.fa___photo_hmms___1fbd0e467722ae2ff9a03410d6950529a9657a55ea9a32fca0d20465,71,19,15,1.2666666666666666,0.31650750341064116,0.15279672578444747,712.377630952381,0.9839470040778743,0.16562073669849914
PsaB-Allocoleopsis_franciscana_PCC_7113.fa_PsaB-Allocoleopsis_franciscana_PCC_7113.fa_1FZXJ.faa.final_tree.fa___photo_hmms___f1e9a821f6dfad0b63b3d78aae295e6c3b85f9cf9338cc5430dec91a,71,19,22,0.8636363636363636,0.3247978436657682,0.1522911051212938,721.8640119047609,0.9848076560774365,0.1722371967654982
PsaB-Allocoleopsis_franciscana_PCC_7113.fa_PsaB-Allocoleopsis_franciscana_PCC_7113.fa_1FZXJ.faa.final_tree.fa___photo_hmms___90b54de1e82fd1083b38000b2d32614599ca21313e42f7ce57b778f7,76,24,22,1.0909090909090908,0.33155792276964047,0.13049267643142476,730.5886309523806,0.9846207964317798,0.2568575233022635
PsaB-Anabaena_cylindrica_PCC_7122.fa_PsaB-Anabaena_cylindrica_PCC_7122.fa_1FZXJ.faa.final_tree.fa___photo_hmms___7e866043f0f58bb3aba1361278cdf44ba0eb957671a5d18e2e38ca50,76,21,24,0.875,0.3337765957446809,0.1276595744680851,731.8589166666663,0.985005271422162,0.2543882978723404
PsaB-Anabaena_cylindrica_PCC_7122.fa_PsaB-Anabaena_cylindrica_PCC_7122.fa_1FZXJ.faa.final_tree.fa___photo_hmms___276802e7f63665965aac34cf1b600928f9008f9c4d3838e119250bd6,67,17,22,0.7727272727272727,0.32570659488559894,0.15208613728129206,722.8540119047613,0.9848147301154786,0.15773889636608301
PsaB-Anabaena_sp_4-3.fa_PsaB-Anabaena_sp_4-3.fa_1FZXJ.faa.final_tree.fa___photo_hmms___35ba338988acb4fd5514c3067da91bae49db5f69c8b9d976e4d0be50,65,17,23,0.7391304347826086,0.3283983849259758,0.15208613728129206,722.9900119047612,0.9850000162190208,0.15625841184387573
PsaB-Anabaena_sp_4-3.fa_PsaB-Anabaena_sp_4-3.fa_1FZXJ.faa.final_tree.fa___photo_hmms___2ba25e62cefe0bd5152dad62fa40bb8bacbb22bdb7d47bf9096a21b2,76,22,23,0.9565217391304348,0.3351063829787234,0.12898936170212766,731.692452380952,0.9847812279689798,0.2507978723404255
PsaB-Anabaena_sp_4-3.fa_PsaB-Anabaena_sp_4-3.fa_1FZXJ.faa.final_tree.fa___photo_hmms___fa0e43ee6a53a1e7ba2b98b1ac6f0ee3615c72f087ff1b36ef3f3094,65,19,20,0.95,0.3167115902964959,0.16037735849056606,721.1014285714272,0.9837672968232294,0.1215633423180592
PsaB-Anabaena_sp_90.fa_PsaB-Anabaena_sp_90.fa_1FZXJ.faa.final_tree.fa___photo_hmms___6fd7f539a024ddfe567fcd84859918aaacd9a0b46d090368aff488a1,65,17,22,0.7727272727272727,0.3243606998654105,0.15074024226110364,723.1930119047613,0.985276582976514,0.15450874831763078
PsaB-Anabaena_sp_90.fa_PsaB-Anabaena_sp_90.fa_1FZXJ.faa.final_tree.fa___photo_hmms___925739ed5636bc650564f0208e7ad63051f8ad942dc47f816ee36181,76,23,22,1.0454545454545454,0.3351063829787234,0.12632978723404253,731.9754523809519,0.985162116259693,0.2363031914893616
PsaB-Anabaena_sp_AL93.fa_PsaB-Anabaena_sp_AL93.fa_1FZXJ.faa.final_tree.fa___photo_hmms___58782100bc199973bfaf411a74e36f9b951be70b381b0297a1487115,75,23,23,1.0,0.33643617021276595,0.12632978723404253,731.7494523809522,0.9848579439851308,0.24853723404255326
PsaB-Anabaena_sp_AL93.fa_PsaB-Anabaena_sp_AL93.fa_1FZXJ.faa.final_tree.fa___photo_hmms___50cbf21888a5e13280131b510033880f6173990c317bb6fe8e698c11,66,17,22,0.7727272727272727,0.3243606998654105,0.15074024226110364,723.2470119047612,0.9853501524588026,0.15693135935396993
PsaB-Anabaena_sp_CRKS33.fa_PsaB-Anabaena_sp_CRKS33.fa_1FZXJ.faa.final_tree.fa___photo_hmms___899a4b3e8e25ad0a1e62f32452a09c84bdc6a77054b5fc11fd2f6051,66,17,22,0.7727272727272727,0.3243606998654105,0.15074024226110364,723.0910119047611,0.985137618398857,0.15746971736204532
PsaB-Anabaena_sp_CRKS33.fa_PsaB-Anabaena_sp_CRKS33.fa_1FZXJ.faa.final_tree.fa___photo_hmms___e7a5a722bb2e09ea9b4f2fad58f2e843ee0e71b2119002f2641a2c37,75,23,23,1.0,0.33244680851063835,0.12632978723404253,732.0954523809521,0.9853236236621159,0.2232712765957445
PsaB-Anabaena_sp_PCC_7108.fa_PsaB-Anabaena_sp_PCC_7108.fa_1FZXJ.faa.final_tree.fa___photo_hmms___72d4bb995f38f9572ebfc2677d357c253b2d24b28f80853b67896ac1,76,22,22,1.0,0.3390957446808511,0.12898936170212766,731.5994523809519,0.9846560597321021,0.26356382978723414
PsaB-Anabaena_sp_PCC_7108.fa_PsaB-Anabaena_sp_PCC_7108.fa_1FZXJ.faa.final_tree.fa___photo_hmms___90fbca9b81fb99432733c5439da46fe2100b2aab38b498650a82ec79,66,18,21,0.8571428571428571,0.3243606998654105,0.15208613728129206,722.8330119047613,0.9847861197612552,0.15706594885598882
PsaB-Anabaena_sp_WA102.fa_PsaB-Anabaena_sp_WA102.fa_1FZXJ.faa.final_tree.fa___photo_hmms___99c94be95ae1e329302a322aa88c39e7ed8047226ee8d73b21e61440,75,23,23,1.0,0.33643617021276595,0.12632978723404253,731.7494523809522,0.9848579439851308,0.24853723404255326
PsaB-Anabaena_sp_WA102.fa_PsaB-Anabaena_sp_WA102.fa_1FZXJ.faa.final_tree.fa___photo_hmms___67c4eef65b154ed30b3a2a470549d45ed13d5057a3544123e404f756,66,17,22,0.7727272727272727,0.3243606998654105,0.15074024226110364,723.2470119047612,0.9853501524588026,0.15693135935396993
PsaB-Anabaena_sp_YBS01.fa_PsaB-Anabaena_sp_YBS01.fa_1FZXJ.faa.final_tree.fa___photo_hmms___2a274d7aa67df0524b7722987a8b7fb5cc26c7af8b99b6929cdb285f,66,20,20,1.0,0.31805929919137466,0.15768194070080863,721.2196785714275,0.9839286201520157,0.11981132075471677
PsaB-Anabaena_sp_YBS01.fa_PsaB-Anabaena_sp_YBS01.fa_1FZXJ.faa.final_tree.fa___photo_hmms___9804261a95f2201ac01503bc519cbf268ad4fce4fcfab73f2c17b304,65,17,23,0.7391304347826086,0.3184885290148448,0.1592442645074224,720.5930119047612,0.9844166829300016,0.1391363022941967
PsaB-Anabaena_sp_YBS01.fa_PsaB-Anabaena_sp_YBS01.fa_1FZXJ.faa.final_tree.fa___photo_hmms___3bc7ea16dd9a039260b0d8fe049661940c3814618a489e7a4686b165,76,23,22,1.0454545454545454,0.3404255319148936,0.12898936170212766,731.4504523809522,0.9844555213740945,0.26555851063829783
PsaB-Anthocerotibacter_panamensis_C109.fa_PsaB-Anthocerotibacter_panamensis_C109.fa_1FZXJ.faa.final_tree.fa___photo_hmms___4d694ec5e628aadeedf849322ba935b841e4d1ffe8bde847ea0b70e8,73,20,20,1.0,0.33377837116154874,0.14686248331108143,728.8693333333339,0.9849585585585593,0.23671562082777012
PsaB-Anthocerotibacter_panamensis_C109.fa_PsaB-Anthocerotibacter_panamensis_C109.fa_1FZXJ.faa.final_tree.fa___photo_hmms___e85ab96e1a6526ae7554c78421eaf5c79f5f10d9e3ed0dbb7c550d9a,74,24,20,1.2,0.33248407643312106,0.13248407643312102,764.9900119047619,0.9858118710112911,0.24496815286624193
PsaB-Aphanizomenon_flos-aquae_LD13.fa_PsaB-Aphanizomenon_flos-aquae_LD13.fa_1FZXJ.faa.final_tree.fa___photo_hmms___43bf6d8ec51e4acd5a7314b636047fd2de348f1577a807eeef66bcf5,66,17,22,0.7727272727272727,0.32570659488559894,0.15074024226110364,723.1020119047615,0.9851526047748794,0.1644683714670251
PsaB-Aphanizomenon_flos-aquae_LD13.fa_PsaB-Aphanizomenon_flos-aquae_LD13.fa_1FZXJ.faa.final_tree.fa___photo_hmms___9a43ab8fff7d3b4708e3d329ce45719ecac67d38cc316d9973452b24,75,23,23,1.0,0.33111702127659576,0.12632978723404253,732.1094523809521,0.9853424661923985,0.22606382978723386
PsaB-Aphanizomenon_flos-aquae_MDT14a.fa_PsaB-Aphanizomenon_flos-aquae_MDT14a.fa_1FZXJ.faa.final_tree.fa___photo_hmms___a04620ddd8d7225ca881c688751788c55fc60673768e2b652bf80c3e,66,17,22,0.7727272727272727,0.32570659488559894,0.15074024226110364,723.1020119047615,0.9851526047748794,0.1644683714670251
PsaB-Aphanizomenon_flos-aquae_MDT14a.fa_PsaB-Aphanizomenon_flos-aquae_MDT14a.fa_1FZXJ.faa.final_tree.fa___photo_hmms___0f2883a54304a97c89e36692a4798ac6c2330502fd41279e5b452591,75,23,23,1.0,0.33111702127659576,0.12632978723404253,732.1094523809521,0.9853424661923985,0.22606382978723386
PsaB-Aphanizomenon_flos-aquae_UKL13-PB.fa_PsaB-Aphanizomenon_flos-aquae_UKL13-PB.fa_1FZXJ.faa.final_tree.fa___photo_hmms___91bbeef8ea184cd4d9b88c6049e6dd1179087c3c4455ae6ca2e0f398,66,17,22,0.7727272727272727,0.32570659488559894,0.15074024226110364,723.1020119047615,0.9851526047748794,0.1644683714670251
PsaB-Aphanizomenon_flos-aquae_UKL13-PB.fa_PsaB-Aphanizomenon_flos-aquae_UKL13-PB.fa_1FZXJ.faa.final_tree.fa___photo_hmms___d2a7e839a0a107e0142f09ad2cdb5d34c824a076a16ff9ca1cec119a,75,23,23,1.0,0.32978723404255317,0.12632978723404253,732.1714523809522,0.9854259116836503,0.22260638297872323
PsaB-Arthrospira_sp_PCC_9108.fa_PsaB-Arthrospira_sp_PCC_9108.fa_1FZXJ.faa.final_tree.fa___photo_hmms___73f197521417e2c9aa86e0b66aec190960dfec1fc1342a440ee84776,71,23,24,0.9583333333333334,0.32490013315579225,0.12916111850865514,731.6649404761899,0.9860713483506603,0.21118508655126475
PsaB-Arthrospira_sp_PCC_9108.fa_PsaB-Arthrospira_sp_PCC_9108.fa_1FZXJ.faa.final_tree.fa___photo_hmms___12d0d143172f312a57c5ca57234bdad88b14070332254c2f1f7d23d1,67,20,21,0.9523809523809523,0.31443994601889336,0.15519568151147098,720.7250119047615,0.9845970107988544,0.13360323886639658
PsaB-Calothrix_sp_336_3.fa_PsaB-Calothrix_sp_336_3.fa_1FZXJ.faa.final_tree.fa___photo_hmms___671bff70441726ede109ee1db78f11760a80e526194df8727398ec89,65,18,22,0.8181818181818182,0.31713900134952766,0.1565452091767881,720.5220119047611,0.9843196883944825,0.1628879892037783
PsaB-Calothrix_sp_336_3.fa_PsaB-Calothrix_sp_336_3.fa_1FZXJ.faa.final_tree.fa___photo_hmms___befa370134fec41353f4274c461d53c2faf0e29eae603478d14a6c54,78,20,23,0.8695652173913043,0.3311170212765957,0.1276595744680851,731.670452380952,0.9847516182785357,0.2655585106382979
PsaB-Calothrix_sp_HK-06.fa_PsaB-Calothrix_sp_HK-06.fa_1FZXJ.faa.final_tree.fa___photo_hmms___ba38e24cbb6c562b4313c7ee14d69a7d3e30a52b9d73e6be747d49bc,76,23,22,1.0454545454545454,0.33643617021276595,0.12632978723404256,731.268452380952,0.9842105684804199,0.25638297872340415
PsaB-Calothrix_sp_HK-06.fa_PsaB-Calothrix_sp_HK-06.fa_1FZXJ.faa.final_tree.fa___photo_hmms___591664c92df361ff2fa9c5ad0013cb3ca7661a42552213cf40af58d0,61,18,23,0.782608695652174,0.3184885290148448,0.15789473684210525,720.9467619047613,0.9848999479573242,0.09811066126855597
PsaB-Calothrix_sp_HK-06.fa_PsaB-Calothrix_sp_HK-06.fa_1FZXJ.faa.final_tree.fa___photo_hmms___1dbe662e78e62219e25e91bec191f01fa8f4a4ec3db784e0e69e197b,3,4,3,1.3333333333333333,0.19642857142857145,0.14285714285714285,47.00055952380952,1.0000119047619047,-0.8089285714285717
PsaB-Calothrix_sp_NIES-2098.fa_PsaB-Calothrix_sp_NIES-2098.fa_1FZXJ.faa.final_tree.fa___photo_hmms___1334653d75976b192ff52637c3a0f0e8e87f6b69f46daae89b6a64c2,65,17,24,0.7083333333333334,0.32658569500674767,0.1592442645074224,720.4900119047611,0.9842759725474879,0.14102564102564066
PsaB-Calothrix_sp_NIES-2098.fa_PsaB-Calothrix_sp_NIES-2098.fa_1FZXJ.faa.final_tree.fa___photo_hmms___74cabeb1462814630daefa6aba32555594470b55e520a76755c7a443,75,24,20,1.2,0.3404255319148936,0.12898936170212766,731.5714523809523,0.9846183746715375,0.24454787234042538
PsaB-Calothrix_sp_NIES-3974.fa_PsaB-Calothrix_sp_NIES-3974.fa_1FZXJ.faa.final_tree.fa___photo_hmms___f6c510c816019db6405ed4ba14f60b08231aa06f62f83eff6ae7b5da,76,22,22,1.0,0.3351063829787234,0.1276595744680851,731.2964523809521,0.9842482535409853,0.28231382978723407
